Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
03776760286;SEDE;IMPRESA INDIVIDUALE;;12/03/2003;GAZZOLA CLAUDIO;35010;BORGORICCO;3-9;; PIZZERIA PER ASPORTO - GASTRONOMIA - ROSTICCERIA (DAL 17.02.2003) COMMERCIO AL MINUTO DI BIBITE, BIRRE, VINI IN LATTINA E IN BOTTIGLIA (DAL 17.3.2003).;56.10.2;Ristoranti e attività di ristorazione mobile;VIA DESMAN, 243, 35010 BORGORICCO PD;;;;;;;;;;
04781300282;SEDE;IMPRESA INDIVIDUALE;;29/01/2014;GI.BI DI DANDOLO GABRIELE;35010;BORGORICCO;3-9;;RISTORAZIONE CON SOMMINISTRAZIONE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA ROMA, 109, 35010 BORGORICCO PD;;;;;;;;;;
03092200272;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;05/01/2009;IL BAICOLO DI BOSCOLO IVAN MORETTO & C. S.A.S.;35010;BORGORICCO;0-2;;;56.3;Bar e altri esercizi simili senza cucina;VIA D. BOSCO, 2/B, 35010 BORGORICCO PD;;;;;;;;;;
03816590289;SEDE;IMPRESA INDIVIDUALE;;05/05/2003;IL GRATICOLO DI PINTON ANDREA;35010;BORGORICCO;3-9;; PIZZERIA PER ASPORTO (DAL 02.04.2003) COMMERCIO AL MINUTO DI BIBITE IN BOTTIGLIA E LATTINA (DAL 2.4.2003).;56.10.2;Ristoranti e attività di ristorazione mobile;VIA SAN LEONARDO, 42, 35010 BORGORICCO PD;;;;;;;;;;
02383850449;SEDE;IMPRESA INDIVIDUALE;;23/05/2019;JIAHE DI YE YING;35010;BORGORICCO;0-2;;BAR E CAFFE';56.3;Bar e altri esercizi simili senza cucina;VIA DESMAN, 341, 35010 BORGORICCO PD;;;;;;;;;;
05053650288;SEDE;IMPRESA INDIVIDUALE;;03/04/2017;LA FONTE DEL GELATO DI SCOLARO CINZIA;35010;BORGORICCO;0-2;;GELATERIA;56.10.3;Ristoranti e attività di ristorazione mobile;VIA ROMA, 102, 35010 BORGORICCO PD;;;;;;;;;;
04975390289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;06/04/2016;LA PALANCANA SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;0-2;;RISTORANTE (ATTIVITA' SVOLTA UNICAMENTE PRESSO L'UL);56.10.11;Ristoranti e attività di ristorazione mobile;VIA ROMA, 94/A, 35010 BORGORICCO PD;;;;;;;;;;
04942670284;SEDE;IMPRESA INDIVIDUALE;;09/12/2015;LONGHIN VALENTINA;35010;BORGORICCO;0-2;;BAR SOMMINISTRAZIONE ALIMENTI BEVANDE;56.3;Bar e altri esercizi simili senza cucina;VIA DESMAN, 190, 35010 BORGORICCO PD;;;;;;;;;;
05276930285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;14/02/2020;LU SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;3-9;;;56.10.11;Ristoranti e attività di ristorazione mobile;VIA SAN LEONARDO, 50, 35010 BORGORICCO PD;;;;;;;;;;
02195350281;SEDE;IMPRESA INDIVIDUALE;;18/07/1988;LUCY PUB 88 DI DE CHECCHI SILVANO;35010;BORGORICCO;0-2;0495566193;ATTIVITA': BAR-TRATTORIA (DAL 21.6.88);56.3;Bar e altri esercizi simili senza cucina;VIA DESMAN, 300, 35010 BORGORICCO PD;;;;;;;;;;
04051270280;SEDE;IMPRESA INDIVIDUALE;;15/12/2005;MARTIGNON ALESSANDRO;35010;BORGORICCO;0-2;; BAR, CAFFE' (DAL 29/11/2005);56.3;Bar e altri esercizi simili senza cucina;VIA S. LEONARDO, 42, 35010 BORGORICCO PD;;;;;;;;;;
05092700284;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;06/11/2017;MAXIM SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;10-49;;RISTORAZIONE CON SOMMINISTRAZIONE - ATTIVITA' SVOLTA PRESSO L'UNITA' LOCALE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA SAN LEONARDO, 50, 35010 BORGORICCO PD;https://avanspettacolovenezia.com/;avanspettacolo, venezia, dinner, eventi, carnevale, valentino, vetro, leone, fisica, maxim, preferenze, cena, category, spettacolo, benvenuto, aperitivo, emotional, catering, gala, cabaret, capodanno, venice, cornice, evento, piatto, avanspettacolo venezia, leone vetro, fisica venezia, aperitivo benvenuto, gala spettacolo;True;en, it;https://www.facebook.com/avanspettacolovenezia/;;;https://www.youtube.com/channel/UClScgUolfEOFxZbNdvVPSAA;;https://www.instagram.com/avanspettacoloveneziaitaly/
05092700284;UL;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;12/01/2018;MAXIM SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;10-49;;RISTORAZIONE CON SOMMINISTRAZIONE (DAL 12/01/2018);56.10.11;Ristoranti e attività di ristorazione mobile;VIA STRAELLE, 103, 35010 BORGORICCO PD;https://avanspettacolovenezia.com/;avanspettacolo, venezia, dinner, eventi, carnevale, valentino, vetro, leone, fisica, maxim, preferenze, cena, category, spettacolo, benvenuto, aperitivo, emotional, catering, gala, cabaret, capodanno, venice, cornice, evento, piatto, avanspettacolo venezia, leone vetro, fisica venezia, aperitivo benvenuto, gala spettacolo;True;en, it;https://www.facebook.com/avanspettacolovenezia/;;;https://www.youtube.com/channel/UClScgUolfEOFxZbNdvVPSAA;;https://www.instagram.com/avanspettacoloveneziaitaly/
02528690288;SEDE;SOCIETA' IN NOME COLLETTIVO;;06/03/1992;NEOCLASSICO DI ZULIAN IVANO & C. S.N.C.;35010;BORGORICCO;3-9;;BAR - RISTORANTE (DAL 28/08/2017);56.10.11;Ristoranti e attività di ristorazione mobile;VIA DESMAN, 162, 35010 BORGORICCO PD;;;;;;;;;;
03158290274;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;03/05/2000;ONGARATO S.R.L.;35010;BORGORICCO;;; TRATTORIA, BAR (DAL 03/5/2000).;56.10.11;Ristoranti e attività di ristorazione mobile;VIA DESMAN, 2, 35010 BORGORICCO PD;;;;;;;;;;
03998460277;SEDE;IMPRESA INDIVIDUALE;;08/09/2010;OSTERIA DAEA ZIA DI CASAROTTO ROBERTO;35010;BORGORICCO;0-2;;OSTERIA - RISTORANTE - BAR.;56.10.11;Ristoranti e attività di ristorazione mobile;VIA MUSON, 33, 35010 BORGORICCO PD;;;;;;;;;;
04011930270;SEDE;IMPRESA INDIVIDUALE;;14/12/2010;OSTERIA QUINTO VIZIO DI DE MARCHI LINO;35010;BORGORICCO;0-2;;ESERCIZIO DI SOMMINISTRAZIONE DI ALIMENTI E BEVANDE: RISTORANTE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA PIOVEGA, 52, 35010 BORGORICCO PD;;;;;;;;;;
05244540281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;04/10/2019;PEGASO RISTORAZIONE SRL;35010;BORGORICCO;0-2;;RISTORAZIONE CON SOMMINISTRAZIONE;56.10.11;Ristoranti e attività di ristorazione mobile;;;;;;;;;;;
05004270285;SEDE;IMPRESA INDIVIDUALE;;02/10/2017;PIZZA TIME DI LUCIAN LAZAR VASILE;35010;BORGORICCO;3-9;;PIZZERIA PER ASPORTO;56.10.2;Ristoranti e attività di ristorazione mobile;VIA DELLA PIEVE, 84, 35010 BORGORICCO PD;;;;;;;;;;
04804980284;SEDE;IMPRESA INDIVIDUALE;;02/04/2014;PIZZERIA PER ASPORTO D'ALESSIO DI FLAVIO D'ALESSIO;35010;BORGORICCO;10-49;;PIZZERIA PER ASPORTO;56.10.2;Ristoranti e attività di ristorazione mobile;VIA TITO LIVIO, 5, 35010 BORGORICCO PD;;;;;;;;;;
05075920263;SEDE;IMPRESA INDIVIDUALE;;04/05/2020;RADATTI MARGHERITA;35010;BORGORICCO;0-2;;BAR, PREPARAZIONE PASTI, (DAL 20/05/2020);56.3;Bar e altri esercizi simili senza cucina;VIA DESMAN, 90/A, 35010 BORGORICCO PD;;;;;;;;;;
04692930284;SEDE;IMPRESA INDIVIDUALE;;09/01/2013;ROCK CAFE' DI KOZLA ILDIKO;35010;BORGORICCO;0-2;;BAR, RISTORANTE E PIZZERIA;56.10.11;Ristoranti e attività di ristorazione mobile;VIA DELLA PIEVE, 57/61, 35010 BORGORICCO PD;;;;;;;;;;
04899360285;SEDE;IMPRESA INDIVIDUALE;;08/10/2019;SEGATO ROBERTO;35010;BORGORICCO;0-2;;BAR E ALTRI ESERCIZI SIMILI SENZA CUCINA;56.3;Bar e altri esercizi simili senza cucina;VIA ROMA, 51, 35010 BORGORICCO PD;;;;;;;;;;
04180650287;SEDE;IMPRESA INDIVIDUALE;;06/03/2007;SNACK BAR LA FENICE DI BORTOLATO DANILO;35010;BORGORICCO;0-2;; BAR (DAL 13.2.2007).;56.3;Bar e altri esercizi simili senza cucina;VIALE EUROPA, 23/B, 35010 BORGORICCO PD;;;;;;;;;;
04249240286;SEDE;SOCIETA' IN NOME COLLETTIVO;;06/12/2007;STORIE D'AMORE S.N.C. DI FOFFANI MASSIMO & C.;35010;BORGORICCO;3-9;;RISTORANTE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA DESMAN, 418, 35010 BORGORICCO PD;https://www.storiedamorerestaurant.it/;persona, degustazioni, italiani, stranieri, bianchi, rossi, storie, degustazione, amore, piatti, massimo, fantasia, distillati, davide, vini, eventi, vino, repubblica, passione, due, viaggio, chef, impegno, terra, proposte, storie amore, degustazione vino, tre piatti, rossi italiani, fantasia chef;;it;;;;;;
04693260285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;27/12/2012;TG S.R.L.;35010;BORGORICCO;10-49;;SOMMINISTRAZIONE DI ALIMENTI E BEVANDE, BAR RISTORANTE E PIZZERIA;56.10.11;Ristoranti e attività di ristorazione mobile;VIA DESMAN, 359, 35010 BORGORICCO PD;https://www.museoristorante.it/;borgoricco, dinner, museoristorante, restaurant, cena, tamiso, sun, domenica, sat, lunch, completo, venerdi, permetti, pizzeria, fri, padova, modificare, food, fornire, pranzo, desman, tg, martedi, mercoledi, giovedi, cena dinner, tamiso museoristorante, martedi mercoledi, museoristorante pizzeria, modificare permetti;;it;https://www.facebook.com/museoristorante;;;;;
04693260285;UL;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;17/01/2013;TG S.R.L.;35010;BORGORICCO;10-49;;SOMMINISTRAZIONE DI ALIMENTI E BEVANDE, BAR PIZZERIA RISTORANTE (DAL 17/01/2013);56.10.11;Ristoranti e attività di ristorazione mobile;VIA DESMAN, 253, 35010 BORGORICCO PD;https://www.museoristorante.it/;borgoricco, dinner, museoristorante, restaurant, cena, tamiso, sun, domenica, sat, lunch, completo, venerdi, permetti, pizzeria, fri, padova, modificare, food, fornire, pranzo, desman, tg, martedi, mercoledi, giovedi, cena dinner, tamiso museoristorante, martedi mercoledi, museoristorante pizzeria, modificare permetti;;it;https://www.facebook.com/museoristorante;;;;;
04338680244;UL;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;22/05/2021;THE BUTTERFLIES CAFFE' SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;;;BAR: ESERCIZIO DI SOMMINISTRAZIONE AL PUBBLICO DI ALIMENTI E BEVANDE (DAL 22/05/2021).;56.3;Bar e altri esercizi simili senza cucina;VIA SAN LEONARDO, 32, 35010 BORGORICCO PD;;;;;;;;;;
01962360283;SEDE;IMPRESA INDIVIDUALE;;26/07/1985;TONAZZO GILBERTO;35010;BORGORICCO;3-9;049/5798034;ATTIVITA: TRATTORIA (DAL 1.3.1985) TRATT0RIA (DAL 01/03/1985) BAR (DAL 30/04/1986);56.10.11;Ristoranti e attività di ristorazione mobile;VIA DESMAN, 459/457, 35010 BORGORICCO PD;;;;;;;;;;
04399590282;SEDE;SOCIETA' IN NOME COLLETTIVO;;29/06/2009;TRATTORIA BARISON S.N.C. DI BARISON NEVIO & C.;35010;BORGORICCO;10-49;;TRATTORIA;56.10.11;Ristoranti e attività di ristorazione mobile;VIA RONCHI, 14/16, 35010 BORGORICCO PD;;;;;;;;;;
02573930282;SEDE;IMPRESA INDIVIDUALE;;20/11/1992;TRICHES ELIDE;35010;BORGORICCO;;;ATTIVITA': BAR - PIZZERIA - TRATTORIA (DAL 28.10.1992);56.3;Bar e altri esercizi simili senza cucina;VIA ROMA, 109, 35010 BORGORICCO PD;;;;;;;;;;
04939260289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;26/11/2015;AD MAIORA S.R.L.;35011;CAMPODARSEGO;10-49;;RISTORAZIONE CON SOMMINISTRAZIONE - ATTIVITA' SVOLTA PRESSO L'UNITA' LOCALE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA LOVATI, 1/A, 35011 CAMPODARSEGO PD;;;;;;;;;;
02163840289;SEDE;IMPRESA INDIVIDUALE;;14/07/1988;AL CALDERONE DI DE CHECCHI VALERIO;35011;CAMPODARSEGO;0-2;049/9200712;BAR, PIZZERIA, RISTORANTE (DAL 08.08.1991);56.3;Bar e altri esercizi simili senza cucina;VIA G.GARIBALDI, 14, 35011 CAMPODARSEGO PD;;;;;;;;;;
04698460278;SEDE;IMPRESA INDIVIDUALE;;31/01/2022;AL DELIRIO DI FRASSON MADDALENA;35011;CAMPODARSEGO;;;RISTORAZIONE CON SOMMINISTRAZIONE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA STRAELLE, 8, 35011 CAMPODARSEGO PD;;;;;;;;;;
05244000286;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;10/07/2020;AMI RESTAURANT SRL;35011;CAMPODARSEGO;10-49;;RISTORAZIONE CON SOMMINISTRAZIONE (DAL 10/07/2020);56.10.11;Ristoranti e attività di ristorazione mobile;VIA ANTONIANA, 218/B, 35011 CAMPODARSEGO PD;https://amisushipadova.it/;padova, ami, sushi, takeaway, antoniana, campodarsego, restaurant, impostazione, salva, xiaoli, trovaci, prosegui, ristorante, ye, panoramica, tank, cena, seguenti, ordini, sconto, coperto, pranzo, contattare, ritiro, bambini, ami sushi, sushi padova, antoniana campodarsego, campodarsego padova, ami restaurant;;it;https://www.facebook.com/Ami-Sushi-103194261440288/;;;;;https://www.instagram.com/amisushi_padova/
04466750280;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;19/03/2010;ANTICA PASTICCERIA DI CHILIN FILIPPO & C. S.A.S.;35011;CAMPODARSEGO;3-9;;PRODUZIONE DI PASTICCERIA FRESCA E GELATI;56.10.3;Ristoranti e attività di ristorazione mobile;VIA BASSA PRIMA, 227B, 35011 CAMPODARSEGO PD;;;;;;;;;;
04594790281;UL;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;16/05/2017;AP SOCIETA' A RESPONSABILITA' LIMITATA;35011;CAMPODARSEGO;10-49;;BAR E ALTRI ESERCIZI SIMILI SENZA CUCINA ULTERIORI SPECIFICHE: BAR, BIRRERIE, PUB (DAL 16/05/2017);56.3;Bar e altri esercizi simili senza cucina;VIA PONTAROLA, 9, 35011 CAMPODARSEGO PD;;;;;;;;;;
04393010287;SEDE;SOCIETA' IN NOME COLLETTIVO;;04/06/2009;ARTOSIN S.N.C. DI ALESSANDRO E MARIO ARTOSIN;35011;CAMPODARSEGO;0-2;;BAR;56.3;Bar e altri esercizi simili senza cucina;VIA BOTTE, 29, 35011 CAMPODARSEGO PD;;;;;;;;;;
04393010287;UL;SOCIETA' IN NOME COLLETTIVO;;12/02/2010;ARTOSIN S.N.C. DI ALESSANDRO E MARIO ARTOSIN;35010;VILLANOVA DI CAMPOSAMPIERO;0-2;;BAR (DAL 12/02/2010);56.3;Bar e altri esercizi simili senza cucina;PIAZZA MERCATO, 29, 35010 VILLANOVA DI CAMPOSAMPIERO PD;;;;;;;;;;
05091880285;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;27/10/2017;BAR CENTRALE SAS DI YE JINGJING;35011;CAMPODARSEGO;0-2;;BAR E CAFFE';56.3;Bar e altri esercizi simili senza cucina;VIA BASSA PRIMA, 130, 35011 CAMPODARSEGO PD;;;;;;;;;;
04098200282;SEDE;IMPRESA INDIVIDUALE;;13/04/2006;BAR DAL CROCHE DI CORROCHER NICOLETTA;35011;CAMPODARSEGO;0-2;; BAR, TRATTORIA, RISTORANTE (DAL 23/03/2006);56.10.11;Ristoranti e attività di ristorazione mobile;VIA STRAELLE, 8, 35011 CAMPODARSEGO PD;;;;;;;;;;
05176480282;SEDE;IMPRESA INDIVIDUALE;;17/12/2018;BAR HAPPY HOUSE DI ZHU LUCA;35011;CAMPODARSEGO;0-2;;BAR;56.3;Bar e altri esercizi simili senza cucina;VIA CALTANA, 66, 35011 CAMPODARSEGO PD;;;;;;;;;;
04042010407;SEDE;IMPRESA INDIVIDUALE;;11/12/2012;BAR LO SFIZIO DI LIU JIE;35011;CAMPODARSEGO;0-2;;RISTORAZIONE CON SOMMINISTRAZIONE DI ALIMENTI E BEVANDE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA ANTONIANA, 165, 35011 CAMPODARSEGO PD;;;;;;;;;;
02196470286;SEDE;SOCIETA' IN NOME COLLETTIVO;;14/07/1988;BAR RISTORANTE CARRARO S.N.C. DI CARRARO GIANCARLO E C.;35011;CAMPODARSEGO;3-9;049/5564219;BAR, RISTORANTE (DAL 22.8.1988).;56.3;Bar e altri esercizi simili senza cucina;VIA BASSA III, 11, 35011 CAMPODARSEGO PD;;;;;;;;;;
02196470286;UL;SOCIETA' IN NOME COLLETTIVO;;14/11/1991;BAR RISTORANTE CARRARO S.N.C. DI CARRARO GIANCARLO E C.;35012;CAMPOSAMPIERO;3-9;049/5790209;BAR (DAL 14.11.91);56.3;Bar e altri esercizi simili senza cucina;VIA RIALTO, 12, 35012 CAMPOSAMPIERO PD;;;;;;;;;;
05141520287;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;01/06/2018;BAR RISTORANTI GUSTO' S.R.L.;35011;CAMPODARSEGO;10-49;;RISTORANTE (DAL 01/06/2018);56.10.11;Ristoranti e attività di ristorazione mobile;VIA PIOGA, 11, 35011 CAMPODARSEGO PD;;;;;;;;;;
05279840283;SEDE;SOCIETA' IN NOME COLLETTIVO;;27/02/2020;BARBERI S.N.C. DI BERTON IVAN & C.;35011;CAMPODARSEGO;0-2;;RISTORAZIONE CON SOMMINISTRAZIONE;56.10.11;Ristoranti e attività di ristorazione mobile;VIA OLMO, 75, 35011 CAMPODARSEGO PD;https://www.ristorantesensi.com/;piatti, ristorante, serate, ottimo, tema, mano, casa, locale, ricevere, villanova, camposampiero, piacere, pesce, fatti, dolci, carne, ivan, marco, cenare, gentile, roman, dino, sereno, gentili, respira, serate tema, villanova camposampiero, pesce carne, dolci fatti, fatti casa;;it;https://www.facebook.com/ristorantesensivillanova;;;;;https://www.instagram.com/ristorante.sensi/
