Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
05250330288;UL;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;18/02/2020;BORGOPLAST SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;0-2;;COMMERCIO ALL'INGROSSO DI GRANULI PLASTICI E MATERIALI PLASTICI VARI (DAL 18/02/2020);46.76.2;Altre attività di commercio all'ingrosso;VIA DELL'INDUSTRIA, 3 - 3A, 35010 BORGORICCO PD;;;;;;;;;;
00514230283;SEDE;IMPRESA INDIVIDUALE;;14/01/1963;BOZZA RITA;35010;BORGORICCO;0-2;;PIZZICHERIA (DAL 12.4.1954), COMMERCIO AL MINUTO PRODOTTI PER L'AGRICOLTURA, TES SUTI, ARTICOLI PER LA PULIZIA DELLA CASA E L'IGIENE DELLA PERSONA, CARTOLERIA (DAL 16.9.1973), RIVENDITA GENERI DI MONOPOLIO (DAL 17/08/1972);47.11.4;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);VIA STRAELLE, 49, 35010 BORGORICCO PD;;;;;;;;;;
03950210280;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;28/03/2012;BRAGAGNOLO S.R.L.;35010;BORGORICCO;50-249;;DISTRIBUTORE D CARBURANTI, AUTOLAVAGGIO (DAL 28.3.2012);47.3;Altre attività di commercio al dettaglio;VIA DESMAN, 90/A, 35010 BORGORICCO PD;https://bragagnolosrl.it/;aggiornamenti, bragagnolo, article, modifiche, unico, legislativo, certificazioni, codice, impianto, consent, essential, stored, functionalities, function, dichiarazione, mud, modello, proroga, ambientali, gestori, ambientale, modificato, covid, published, impianti, modifiche legislativo, unico dichiarazione, modello unico, gestori ambientali, dichiarazione ambientale;True;en, it;;;;https://www.youtube.com/watch?v=ssBaato76t8&t=65s;;
00272360280;SEDE;IMPRESA INDIVIDUALE;;08/05/1973;CAIMI RICCARDO;35010;BORGORICCO;0-2;049/5798139;DISTRIBUTORE DI BENZINA, COMMERCIO AL MINUTO DI COMBUSTIBILI;47.3;Altre attività di commercio al dettaglio;;;;;;;;;;;
05378540289;SEDE;SOCIETA' IN NOME COLLETTIVO;;05/05/2021;CAMILLO ARREDA SNC DI SPAGNOLO FRANCO & C.;35010;BORGORICCO;0-2;;COMMERCIO AL DETTAGLIO DI MOBILI PER LA CASA;47.59.1;Altre attività di commercio al dettaglio;VIALE EUROPA, 19, 35010 BORGORICCO PD;;;;;;;;;;
05378540289;UL;SOCIETA' IN NOME COLLETTIVO;;04/05/2021;CAMILLO ARREDA SNC DI SPAGNOLO FRANCO & C.;35012;CAMPOSAMPIERO;0-2;;;47.59.1;Altre attività di commercio al dettaglio;VIA BORGO RUSTEGA, 11/A, 35012 CAMPOSAMPIERO PD;;;;;;;;;;
05380430289;SEDE;IMPRESA INDIVIDUALE;;02/07/2021;CAMIR DI CAMPELLO MIRKO;35010;BORGORICCO;;;COMMERCIO ALL'INGROSSO DI BEVANDE ALCOLICHE ULTERIORI SPECIFICHE: NELLO SPECIFICO BIRRA;46.34.1;Altre attività di commercio all'ingrosso;VIA ROMA, 143, 35010 BORGORICCO PD;;;;;;;;;;
00354670283;UL;SOCIETA' IN ACCOMANDITA SEMPLICE;;22/09/1998;CAMPORESE ONORANZE FUNEBRI S.A.S. DI CAMPORESE LIDIO & C.;35010;SAN GIORGIO DELLE PERTICHE;3-9;;COMMERCIO AL MINUTO DI ARTICOLI FUNEBRI, ARTE TIPOGRAFICA, ECC.(DAL 22.09.98).;47.78.93;Altre attività di commercio al dettaglio;VIA ROMA, 404, 35010 SAN GIORGIO DELLE PERTICHE PD;;;;;;;;;;
02484880287;SEDE;IMPRESA INDIVIDUALE;;27/02/1992;CANAZZA NICOLA;35010;BORGORICCO;0-2;0429/709721;COMMERCIO AMBULANTE DI FRUTTA E VERDURA (DAL 20.02.1992).;47.81.01;Altre attività di commercio al dettaglio;VIA G. DANDOLO, 7/1, 35010 BORGORICCO PD;;;;;;;;;;
04521090268;UL;SOCIETA' COOPERATIVA;;01/07/2021;CANTINE VITICOLTORI VENETO ORIENTALE SOCIETA' AGRICOLA COOPERATIV A - IN FORMA ABBREVIATA VI.V.O. CANTINE S.A.C.;35010;BORGORICCO;;;VENDITA DIRETTA, IN LOCALE APERTO AL PUBBLICO, DI VINO DI PROPRIA PRODUZIONE (CANTINA SOCIALE) E ALTRI PRODOTTI AGRICOLI DI PROPRIA PRODUZIONE (DAL 01/07/2021);47.25;Altre attività di commercio al dettaglio;VIA DESMAN, 187/A, 35010 BORGORICCO PD;https://www.vivocantine.it/it;vini, cantine, doc, igt, campodipietra, cantina, veneto, arzeri, grappe, soci, orientale, viticoltori, tranquilli, terre, marciane, piave, viri, pinot, prosecco, pramaggiore, spumanti, chardonnay, riserva, distillati, lison, veneto orientale, viticoltori veneto, cantine viticoltori, vini tranquilli, terre marciane;True;en, it;https://www.facebook.com/vivocantine;;;;;
04513720286;SEDE;IMPRESA INDIVIDUALE;;10/11/2010;CARRARO MIRKO;35010;BORGORICCO;0-2;;AGENTE DI COMMERCIO DI APPARECCHI ED ACCESSORI PER IL RISCALDAMENTO E CONDIZIONAMENTO (DAL 02.11.2010);46.13.03;Altre attività di commercio all'ingrosso;VIA CASTELLARO, 2, 35010 BORGORICCO PD;;;;;;;;;;
03745660278;UL;IMPRESA INDIVIDUALE;;23/05/2013;CAZZIN GIOVANNI;35010;BORGORICCO;;; GESTIONE IN APPALTO DI UN DISTRIBUTORE DI CARBURANTE (DAL 23.05.2013);47.3;Altre attività di commercio al dettaglio;VIA DESMAN, 192, 35010 BORGORICCO PD;;;;;;;;;;
03627500287;SEDE;IMPRESA INDIVIDUALE;;27/07/2001;CELI BARBARA;35010;BORGORICCO;0-2;;COMMERCIO AL MINUTO SU AREE PUBBLICHE DI ARTICOLI DI ABBIGLIAMENTO, ACCESSORI, ARTICOLI TESSILI PER LA CASA E NON;47.82.01;Altre attività di commercio al dettaglio;VIA SOLE, 14/C, 35010 BORGORICCO PD;;;;;;;;;;
02547900288;SEDE;IMPRESA INDIVIDUALE;;15/04/1992;CELI DINO;35010;BORGORICCO;0-2;;ATTIVITA': COMMERCIO AMBULANTE DI BIANCHERIA PER LA CASA (DAL 29/10/2001), LOCAZIONE DI RAMO D'AZIENDA (DAL 02.05.2001);47.82.01;Altre attività di commercio al dettaglio;VIA DELLA PIEVE, 41, 35010 BORGORICCO PD;;;;;;;;;;
02547900288;UL;IMPRESA INDIVIDUALE;;03/03/1999;CELI DINO;35010;BORGORICCO;0-2;;;47.82.01;Altre attività di commercio al dettaglio;VIA FAVARIEGO, 6, 35010 BORGORICCO PD;;;;;;;;;;
01904810288;SEDE;IMPRESA INDIVIDUALE;;11/06/1984;CELI OTELLO;35010;BORGORICCO;0-2;049/9335336; COMMERCIO AMBULANTE DI ACCESSORI DI ABBIGLIAMENTO E BIANCHERIA INTIMA, BIANCHE- RIA PER LA CASA (DAL 11.6.1984).;47.8;Altre attività di commercio al dettaglio;VIA SOLE, 16, 35010 BORGORICCO PD;;;;;;;;;;
02621960281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;21/11/1995;CENTRO DEL NASTRO ADESIVO S.R.L.;35010;BORGORICCO;3-9;049/9630600;COMMERICO ALL'INGROSSO DI NASTRI ADESIVI E MATERIALE PER IMBALLAGGIO, CASALINGHI, ARTICOLI PER LA PULIZIA DELLA CASA E PER L'IGIENE DELLA PERSONA, LAVORAZIONE E PRODUZIONE DI NASTRI ADESIVI E MATERIALI PER L'IMBALLAGGIO (DAL 02.05.1996).;46.76.3;Altre attività di commercio all'ingrosso;VIA FRATTA, 16/C, 35010 BORGORICCO PD;;;;;;;;;;
04063200242;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;23/06/2017;CEREAL DOCKS ORGANIC S.R.L.;35010;BORGORICCO;;;;46.21.1;Altre attività di commercio all'ingrosso;VIA DESMAN, 121, 35010 BORGORICCO PD;https://www.cerealdocks.it/;docks, cereal, alimentare, biotecnologie, nutrizione, animale, biologico, filiere, wp, innovazione, tesi, prodotti, cerealdocks, mantegna, marco, camisano, stabilimenti, vicentino, academy, marghera, ambientale, organic, alimento, sostenibili, alto, cereal docks, nutrizione animale, cerealdocks wp, camisano vicentino, mantegna academy;True;en, it;https://www.facebook.com/GruppoCerealDocks/;;https://www.linkedin.com/company/cereal-docks-spa;https://www.youtube.com/channel/UCVA84a6fAPZyOG1tHzyMnPg;;
03789690280;SEDE;IMPRESA INDIVIDUALE;;21/03/2003;CHANNA AHMED;35010;BORGORICCO;0-2;; COMMERCIO AL MINUTO SU AREE PUBBLICHE ITINERANTE DI CONFEZIONI PER ADULTI (DAL 10.3.2003).;47.82;Altre attività di commercio al dettaglio;VIA DESMAN, 73, 35010 BORGORICCO PD;;;;;;;;;;
04527890281;SEDE;IMPRESA INDIVIDUALE;;11/02/2011;CILLO VALENTINO;35010;BORGORICCO;0-2;;SUBAGENTE DI COMMERCIO SENZA DEPOSITO PER LA VENDITA DI LAMIERE FORATE, TELE, RETI METALLICHE, NASTRI TRASPORTATORI METALLICI;46.18.97;Altre attività di commercio all'ingrosso;CORSO ITALIA, 26, 35010 BORGORICCO PD;;;;;;;;;;
02096330283;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;11/09/1986;CIMPA SAS DI GALLO GIOVANNI EDOARDO E C.;35010;BORGORICCO;0-2;049/5798898;COMMERCIO ALL'INGROSSO DI PRODOTTI PER L'AGRICOLTURA, DI MACCHINE AGRICOLE ED UTENSILI VARI PER L'AGRICOLTURA IN ITALIA E ALL'ESTERO;46.75.01;Altre attività di commercio all'ingrosso;VIA PELOSA, 100, 35010 BORGORICCO PD;;;;;;;;;;
04007520283;SEDE;IMPRESA INDIVIDUALE;;16/03/2006;CIOLACU NICOLETA;35010;BORGORICCO;0-2;; COMEMRCIO AMBULANTE ITINERANTE DI ALIMENTI E BEVANDE CON SOMMINISTRAZIONE (DAL 1.2.2007). COMMERCIO AMBULANTE ITINERANTE DI UTENSILI DA CUCINA (DAL 21.02.2006);47.81.09;Altre attività di commercio al dettaglio;VIA DESMAN, 106, 35010 BORGORICCO PD;;;;;;;;;;
04231170285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;17/09/2007;COLORIFICIO SANT'EUFEMIA SRL;35010;BORGORICCO;3-9;;COMMERCIO ALL'INGROSSO E AL DETTAGLIO DI COLORI, SMALTI, VERNICI, MATERIALE ED ATTREZZATURE PER L'EDILIZIA E L'INDUSTRIA E FERRAMENTA IN GENERE (DAL 25.02.2008);46.73.4;Altre attività di commercio all'ingrosso;VIA GAFFARELLO, 19/21, 35010 BORGORICCO PD;https://www.colorificiosanteufemia.com/;colorificio, eufemia, linea, prodotti, borgoricco, scheda, color, gaffarello, esterno, effetto, colorificiosanteufemia, industria, wp, legno, edilizia, sistemi, isolamento, termico, secco, sistema, produzione, risanamento, cortina, colori, villetta, colorificio eufemia, gaffarello borgoricco, colorificiosanteufemia wp, linea industria, isolamento termico;;it;https://www.facebook.com/COLORIFICIO-SANTEUFEMIA-263787403659808/;;;;;https://www.instagram.com/colorificiosanteufemia/
01987830286;SEDE;SOCIETA' IN NOME COLLETTIVO;;03/02/1986;COMACCHIO S.N.C. DI COMACCHIO ENZO & C.;35010;BORGORICCO;0-2;;COMMERCIO ALL'INGROSSO DI DOLCIUMI E FRUTTA CONSERVATA (DAL 9/7/1985), COMMERCIO AL DETTAGLIO DI DOLCIUMI (DAL 28.11.2007).;46.36;Altre attività di commercio all'ingrosso;VIA ROMA, 16/A, 35010 BORGORICCO PD;;;;;;;;;;
03289130282;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;14/04/1998;COM.IT S.R.L.;35010;BORGORICCO;0-2;;COMMERCIO ALL'INGROSSO DI MACCHINARI ED ATTREZZATURA PER L'EDILIZIA, NOLEGGIO DI MACCHINARI ED ATTREZZATURA PER L'EDILIZIA (DAL 20.05.1998);46.6;Commercio all'ingrosso di macchinari e attrezzature;VIA DESMAN, 198/B, 35010 BORGORICCO PD;;;;;;;;;;
03335760231;UL;SOCIETA' COOPERATIVA A RESPONSABILITA LIMITATA;;17/01/2014;CONSORZIO AGRARIO DEL NORDEST SOCIETA' COOPERATIVA;35010;BORGORICCO;;; DEPOSITO, COMMERCIO ALL'INGROSSO ED AL DETTAGLIO DI PRODOTTI PER L'AGRICOLTURA E LA ZOOTECNIA, COMMERCIO ALL'INGROSSO DI SEMENTI E ALIMENTI PER IL BESTIAME (MANGIMI) E ALTRI PRODOTTI ZOOTECNICI FERTILIZZANTI, AGROFARMACI, SEMENTI E MATERIE PLASTICHE, DEPOSITO E COMMERCIO ALL'INGROSSO DI MACCHINE E ATTREZZATURE AGRICOLE, COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI CONFEZIONATI NON DEPERIBILI QUALI PASTA, RISO, OLIO E VINO (DAL 17/01/2014);46.9;Altre attività di commercio all'ingrosso;VIA ROMA, 1, 35010 BORGORICCO PD;https://www.agrinordest.it/;stock, goldoni, motocoltivatori, consorzio, agrario, nordest, consulenza, sviluppo, attacco, biagioli, padova, agricoli, investimenti, assicurativi, mantova, forbice, campagnola, veneto, brescia, venezia, essiccatoi, agricoltura, rovigo, sociali, gomma, consorzio agrario, agrario nordest, organi sociali, gomma goldoni, ricerca sviluppo;True;it, fr;https://www.facebook.com/consorzioagrariodelnordest;;https://www.linkedin.com/company/consorzio-agrario-del-nordest;https://www.youtube.com/c/consorzioagrariodelnordest;;https://www.instagram.com/consorzio_agrario_del_nordest/
03335760231;UL;SOCIETA' COOPERATIVA A RESPONSABILITA LIMITATA;;17/01/2014;CONSORZIO AGRARIO DEL NORDEST SOCIETA' COOPERATIVA;35017;PIOMBINO DESE;;; DEPOSITO, COMMERCIO ALL'INGROSSO ED AL DETTAGLIO DI PRODOTTI PER L'AGRICOLTURA E LA ZOOTECNIA, COMMERCIO ALL'INGROSSO DI SEMENTI E ALIMENTI PER IL BESTIAME (MANGIMI) E ALTRI PRODOTTI ZOOTECNICI FERTILIZZANTI, AGROFARMACI, SEMENTI E MATERIE PLASTICHE, DEPOSITO E COMMERCIO ALL'INGROSSO DI MACCHINE E ATTREZZATURE AGRICOLE, COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI CONFEZIONATI NON DEPERIBILI QUALI PASTA, RISO, OLIO E VINO (DAL 17/01/2014);46.9;Altre attività di commercio all'ingrosso;VIA ENRICO FERMI, 27, 35017 PIOMBINO DESE PD;https://www.agrinordest.it/;stock, goldoni, motocoltivatori, consorzio, agrario, nordest, consulenza, sviluppo, attacco, biagioli, padova, agricoli, investimenti, assicurativi, mantova, forbice, campagnola, veneto, brescia, venezia, essiccatoi, agricoltura, rovigo, sociali, gomma, consorzio agrario, agrario nordest, organi sociali, gomma goldoni, ricerca sviluppo;True;it, fr;https://www.facebook.com/consorzioagrariodelnordest;;https://www.linkedin.com/company/consorzio-agrario-del-nordest;https://www.youtube.com/c/consorzioagrariodelnordest;;https://www.instagram.com/consorzio_agrario_del_nordest/
04870560283;SEDE;IMPRESA INDIVIDUALE;;15/01/2015;COTTON BLUE DI SILVESTRI BEATRICE;35010;BORGORICCO;0-2;;COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI;47.71.1;Altre attività di commercio al dettaglio;VIA ROMA, 51/B, 35010 BORGORICCO PD;;;;;;;;;;
03805210287;SEDE;IMPRESA INDIVIDUALE;GIANLUCA.DEGASPARI@EDG.IT;16/04/2003;DE GASPARI GIANLUCA;35010;BORGORICCO;0-2;349/5112690; AGENTE DI COMMERCIO PER LA VENDITA DI FIORI, PIANTE ED OGGETTISTICA (DAL 03/03/2003) ***TRATTASI DI IMPRESA NON ISCRITTA NEL RUOLO AGENTI E RAPPRESENTANTI DI CUI ALL ALEGGE N. 204/1985***;46.11.02;Altre attività di commercio all'ingrosso;VIA DON ANTONIO ZORZO, 8, 35010 BORGORICCO PD;;;;;;;;;;
04904590280;SEDE;IMPRESA INDIVIDUALE;;22/06/2015;DE GASPARI LIONELLO;35010;BORGORICCO;0-2;;PROCACCIATORE D'AFFARI PER LA VENDITA ALL'INGROSSO DI COMPLEMENTI D'ARREDO, ARTICOLI E ACCESSORI PER FIORISTI, GADGET E OGGETTI RICORDO, ARTICOLI PER FESTE, ARTICOLI DA REGALO, ARTICOLI PER CONFEZIONAMENTO;46.19.02;Altre attività di commercio all'ingrosso;VIA MUSSOLINI, 12, 35010 BORGORICCO PD;;;;;;;;;;
04461100283;SEDE;IMPRESA INDIVIDUALE;;19/03/2010;DE LORENZI ALESSANDRO;35010;BORGORICCO;0-2;;COMMERCIO ALL'INGROSSO DI MACCHINE UTENSILI INCLUSE LE RELATIVE PARTI INTERCAMBIABILI;46.62;Commercio all'ingrosso di macchinari e attrezzature;VIA SAN LEONARDO, 52/D, 35010 BORGORICCO PD;;;;;;;;;;
00349510289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;02/05/1995;DEDO'S ITALIA S.R.L.;35010;BORGORICCO;0-2;049/9335577;COMMERCIO ALL'INGROSSO DI ARTICOLI PER LA PULIZIA E L'IGIENE DELLA CASA, DELLA PERSONA, NONCHE' DI CIABATTE, PANTOFOLE, ZOCCOLI, TAPPETI, STUOIE, SCOPE, MANICI SAGGINA E PRODOTTI AFFINI (DAL 05.07.1995);46.44.3;Altre attività di commercio all'ingrosso;VIA DESMAN, 74, 35010 BORGORICCO PD;;;;;;;;;;
