Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
04537900286;SEDE;IMPRESA INDIVIDUALE;MATTEO.SOLIGO@GMAIL.COM;21/03/2011;DATOPUNTO DI SOLIGO MATTEO;35010;BORGORICCO;0-2;;RIPARAZIONE E MANUTENZIONE DI COMPUTER E PERIFERICHE COME COMPUTER, STAMPANTI, MONITOR, TERMINALI INFORMATICI DEDICATI, SERVER, COMPUTER PALMARI, ALTRE APPARECCHIATURE INFORMATICHE E DI ALTRE APPARECCHIATURE PER LE COMUNICAZIONI QUALI MODEM, FAX, APPARECCHIATURE DI TRASMISSIONE DELLE COMUNICAZIONI ED ALTRE.;95.11;Altre attività di servizi;VIA PIOVEGA, 41/C/1, 35010 BORGORICCO PD;http://www.datopunto.it/;stampa, datopunto, tazze, riparazione, papiri, impaginazione, tela, personalizzato, sublimatica, grembiule, fotografica, digitale, borgoricco, trova, love, gadget, addii, borraccia, strada, piovega, celibato, lauree, periferiche, laurea, formato, stampa papiri, impaginazione stampa, stampa digitale, trova strada, grembiule personalizzato;;it;;;;;;
05187560288;SEDE;ASSOCIAZIONE;;23/01/2019;DENTAL DIGITAL EDUCATION;35010;BORGORICCO;;;CORSI DI FORMAZIONE E CORSI DI AGGIORNAMENTO PROFESSIONALE NEL CAMPO DELL'ODONTOIATRIA;85.59.2;Istruzione;VIA MARCONI, 12, 35010 BORGORICCO PD;;;;;;;;;;
05070100283;SEDE;IMPRESA INDIVIDUALE;;03/07/2017;DOLCI SORRISI DI GESUATO SARA;35010;BORGORICCO;0-2;;SERVIZI DI MICRO ASILO NIDO;88.91;Sanità e assistenza sociale;CORSO ITALIA, 9/B, 35010 BORGORICCO PD;;;;;;;;;;
04388100283;SEDE;IMPRESA INDIVIDUALE;;12/05/2009;DORI MAGGIE;35010;BORGORICCO;;;SPETTACOLI VIAGGIANTI (DAL 29/04/2009);93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35010 BORGORICCO PD;;;;;;;;;;
05052810289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;06/04/2017;ENTOLE' S.R.L.;35010;BORGORICCO;10-49;;STUDI MEDICI SPECIALISTICI E POLIAMBULATORI, (DAL 19/08/2020);86.22.09;Sanità e assistenza sociale;VIA MORATTI, 6, 35010 BORGORICCO PD;;;;;;;;;;
03534440288;SEDE;IMPRESA INDIVIDUALE;;24/04/2019;EREDI CACCIN DI BOVO DANIELA;35010;BORGORICCO;0-2;;RIPARAZIONE DI OROLOGI E DI GIOIELLI;95.25;Altre attività di servizi;VIA ROMA, 85, 35010 BORGORICCO PD;;;;;;;;;;
04421830284;SEDE;IMPRESA INDIVIDUALE;;12/01/2010;ESTRO' PARRUCCHIERI DI SPINELLO PAMELA;35010;BORGORICCO;0-2;;ACCONCIATORE (DAL 15.12.2009);96.02.01;Altre attività di servizi;VIA DESMAN, 198/A, 35010 BORGORICCO PD;;;;;;;;;;
00682190285;UL;FONDAZIONE;;25/01/2007;FONDAZIONE OPERA IMMACOLATA CONCEZIONE ONLUS;35010;BORGORICCO;250+;; GESTIONE STRUTTURA RESIDENZIALE PER ANZIANI PREVALENTEMENTE NON AUTOSUFFICIENTI (DAL 25/01/2007);87.1;Sanità e assistenza sociale;VIA PELOSA, 73, 35010 BORGORICCO PD;https://www.oiconlus.it/;oic, offerta, sostienici, relations, fondazione, onlus, strutture, vivere, civitas, vitae, chef, raccontano, padova, eventi, premio, ospiti, autosufficienti, codice, regionali, sedi, fiscale, opera, partita, toblino, familiari, fondazione oic, oic onlus, vivere oic, civitas vitae, codice fiscale;True;it;;https://twitter.com/#!/fondazioneoic;;https://www.youtube.com/user/FondazioneOIC;;
05234670288;SEDE;IMPRESA INDIVIDUALE;MICHGARDIN@GMAIL.COM;29/07/2019;GARDIN MICHELE;35010;BORGORICCO;0-2;;ORGANIZZAZIONE FESTE E CERIMONIE CON ESCLUSIONE DELL'ATTIVITA' DI AGENZIA D'AFFARI;96.09.05;Altre attività di servizi;VIA PIOVEGA, 52, 35010 BORGORICCO PD;;;;;;;;;;
00065640286;SEDE;IMPRESA INDIVIDUALE;;29/06/1994;GIMMI PARRUCCHIERE DI NOVELLO GIMMI;35010;BORGORICCO;3-9;049/9335680; PARRUCCHIERE PER UOMO E DONNA (DAL 06.05.1994);96.02.01;Altre attività di servizi;VIA DESMAN, 75, 35010 BORGORICCO PD;;;;;;;;;;
03590660282;SEDE;IMPRESA INDIVIDUALE;INFO@INNOVAPIU'.IT;15/01/2002;INNOVA PIU' DI BARBAN GIAN MARIO;35010;BORGORICCO;0-2;049/9335896; ASSISTENZA TECNICA E MANUTENZIONE HARDWARE E SOFTWARE (DAL 01.12.2001);95.11;Altre attività di servizi;VIA DEL DONATORE, 20, 35010 BORGORICCO PD;;;;;;;;;;
04714810282;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;26/02/2013;IO SORRIDO S.R.L.;35010;BORGORICCO;10-49;;AMBULATORIO ODONTOIATRICO;86.23;Sanità e assistenza sociale;VIA MARCONI, 12/A, 35010 BORGORICCO PD;;;;;;;;;;
02224230280;SEDE;SOCIETA' IN NOME COLLETTIVO;;19/01/1989;L'ANCORA S.N.C. DI FASOLO SILVANO & C.;35010;BORGORICCO;0-2;;PARRUCCHIERE UOMO-DONNA, ESTETISTA  (DAL 20/06/2001);96.02.01;Altre attività di servizi;VIA ROMA, 138/A, 35010 BORGORICCO PD;;;;;;;;;;
02925630275;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;15/01/2019;LIFEBRAIN VENETO LAB S.R.L.;35010;BORGORICCO;;; PUNTO PRELIEVI(DAL 15/01/2019);86.90.12;Sanità e assistenza sociale;VIA ROMA, 73, 35010 BORGORICCO PD;;;;;;;;;;
04679230286;SEDE;IMPRESA INDIVIDUALE;;12/11/2012;L'ISOLA DEL SOL DI COLETTO GIANNI;35010;BORGORICCO;0-2;;CENTRO ESTETICO E SOLARIUM SVOLTA PRESSO L'UNITA' LOCALE DI SAN MARTINO DI LUPARI (PD), VIA JULIA, 3/B;96.02.02;Altre attività di servizi;VIA DON BOSCO, 21, 35010 BORGORICCO PD;;;;;;;;;;
03563580285;SEDE;IMPRESA INDIVIDUALE;;06/07/1990;LUISETTO MARISTELLA;35010;BORGORICCO;0-2;049/5797641;ATTIVITA': PARRUCCHIERA PER SIGNORA (DAL 30.05.1990);96.02.01;Altre attività di servizi;VIA DEL SERRAGLIO, 7, 35010 BORGORICCO PD;;;;;;;;;;
03755240284;SEDE;IMPRESA INDIVIDUALE;;23/09/2002;LUISETTO MONICA;35010;BORGORICCO;0-2;;SERVIZI DEI SALONI DI PARRUCCHIERE;96.02.01;Altre attività di servizi;VIALE EUROPA, 21/A, 35010 BORGORICCO PD;;;;;;;;;;
04387110283;SEDE;IMPRESA INDIVIDUALE;;30/04/2009;MAJOR JOSEPHINE;35010;BORGORICCO;;333/4346728; SPETTACOLI VIAGGIANTI (DAL 27.4.2009).;93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35010 BORGORICCO PD;;;;;;;;;;
04691070280;SEDE;IMPRESA INDIVIDUALE;;27/06/2013;MAJOR PAOLA;35010;BORGORICCO;0-2;;SPETTACOLI VIAGGIANTI;93.21;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35010 BORGORICCO PD;;;;;;;;;;
01740210628;UL;SOCIETA' COOPERATIVA;;26/02/2020;MAM COOPERATIVA S.R.L.;35010;BORGORICCO;3-9;; ATTIVITA' DI SGOMBERO DI CANTINE, SOLAI E GARAGE (L'ATTIVIT? NON E' ESERCITATA AI SENSI DEL DM 221/2003 FACCHINAGGIO E DEL D. LGS. 395/2000 AUTOTRASPORTO) (DAL 26/02/2020);96.09.01;Altre attività di servizi;VIA DESMAN, 74, 35010 BORGORICCO PD;;;;;;;;;;
05316520286;SEDE;IMPRESA INDIVIDUALE;;21/10/2020;MARZARO ELENA;35010;BORGORICCO;0-2;;ESTETISTA;96.04.1;Altre attività di servizi;VIA DANDOLO, 13, 35010 BORGORICCO PD;;;;;;;;;;
02520410289;SEDE;IMPRESA INDIVIDUALE;;22/04/1992;MOIRA SALONE DI BELLEZZA DI RETTORE MOIRA;35010;BORGORICCO;0-2;049/8335630;ATTIVITA': PARRUCCHIERA PER SIGNORA (DAL 01.03.1992), COMMERCIO AL DETTAGLIO DI COSMETICI E ARTICOLI DI PROFUMERIA (DAL 01/06/2000);96.02.01;Altre attività di servizi;VIA DESMAN, 336/C, 35010 BORGORICCO PD;;;;;;;;;;
04589760281;UL;SOCIETA' IN NOME COLLETTIVO;;04/10/2017;NEFESH S.N.C. DI SILVESTRI MATTEO & C.;35010;BORGORICCO;10-49;;SERVIZI DEGLI ISTITUTI DI BELLEZZA. (DAL 04/10/2017);96.02.02;Altre attività di servizi;VIA SAN LEONARDO, 38, 35010 BORGORICCO PD;https://borgochic.com/;borgochic, padova, borgoricco, piove, mirano, sacco, vigonza, trattamento, risposta, server, borgo, sistema, tecnologie, promozioni, perdita, listino, ambiente, osservate, scopi, nomi, errore, visitati, attivare, piazzetta, guasti, piove sacco, borgochic padova, borgochic mirano, borgochic vigonza, borgochic piove;True;it;https://www.facebook.com/esteticapadova/;;;https://www.youtube.com/channel/UCpczX2hc3dMbrrkWO-eq31w;;
05290760288;SEDE;IMPRESA INDIVIDUALE;;15/05/2020;NRC MOTORSPORT DI TOMBACCO ENRICO;35010;BORGORICCO;0-2;;RIPARAZIONE DI ARTICOLI SPORTIVI (ESCLUSE LE ARMI SPORTIVE) E ATTREZZATURE DA CA MPEGGIO (INCLUSE LE BICICLETTE) ULTERIORI SPECIFICHE: MANUTENZIONE ARTICOLI SPORTIVI IN PARTICOLAR MODO I GO KART (DAL 08/05/2020);95.29.02;Altre attività di servizi;VIA DELLE RIVE, 13/3, 35010 BORGORICCO PD;;;;;;;;;;
04959320286;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;07/03/2018;ON AIR SRL;35010;BORGORICCO;;; ATTIVIT? DI ANIMAZIONE DI FESTE MEDIANTE DJ SET CON PLAYLIST MUSICALI, (DAL 07/03/2018);93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA DESMAN, 197/A, 35010 BORGORICCO PD;https://www.onair.srl/;radio, consulenza, segui, produzione, radiofonici, audio, programmi, borgoricco, air, fm, strategica, instore, store, eventi, sitemap, desman, onair, contenuti, trovarci, vieni, veneto, invia, prismi, domenica, chiamaci, programmi radiofonici, radio fm, consulenza programmi, produzione audio, consulenza strategica;True;en, it;https://www.facebook.com/onairmediaeventi/;;;;;https://www.instagram.com/onair_mediaeventi/
00570030288;SEDE;SOCIETA' IN NOME COLLETTIVO;;17/07/1997;ONGARATO LEONARDO & C. SNC DI ONGARATO  ELENA E MARIN ROSANNA;35010;BORGORICCO;0-2;049/5798291;TAPPEZZIERE, PRODUZIONE E LAVORAZIONE POLTRONE, DIVANI E QUALSIASI ALTRO OGGETTO DI ARREDAMENTO;95.24.02;Altre attività di servizi;VIA DESMAN, 214, 35010 BORGORICCO PD;;;;;;;;;;
03383550286;SEDE;ENTE ECCLESIASTICO CIVILMENTE RICONOSCIUTO;;20/01/2004;PARROCCHIA DI SANT'EUFEMIA;35010;BORGORICCO;10-49;;;85.1;Istruzione;VIA DELLA PIEVE, 31, 35010 BORGORICCO PD;;;;;;;;;;
03383550286;UL;ENTE ECCLESIASTICO CIVILMENTE RICONOSCIUTO;;01/01/2004;PARROCCHIA DI SANT'EUFEMIA;35010;BORGORICCO;10-49;; SCUOLA MATERNA E NIDO INTEGRATO (DAL 01/01/2004).;85.1;Istruzione;VIA DELLA PIEVE, 29, 35010 BORGORICCO PD;;;;;;;;;;
03551500287;SEDE;ENTE ECCLESIASTICO CIVILMENTE RICONOSCIUTO;;05/02/2004;PARROCCHIA SAN LEONARDO DI BORGORICCO;35010;BORGORICCO;10-49;;;85.1;Istruzione;VIALE EUROPA, 18, 35010 BORGORICCO PD;;;;;;;;;;
03551500287;UL;ENTE ECCLESIASTICO CIVILMENTE RICONOSCIUTO;;01/01/2004;PARROCCHIA SAN LEONARDO DI BORGORICCO;35010;BORGORICCO;10-49;; SCUOLA MATERNA (DAL 01/01/2004).;85.1;Istruzione;VIA SAN LEONARDO, 16, 35010 BORGORICCO PD;;;;;;;;;;
02717190280;SEDE;ENTE ECCLESIASTICO;;03/05/2004;PARROCCHIA SAN MICHELE ARCANGELO;35010;BORGORICCO;3-9;; ISTRUZIONE DI GRADO PREPARATORIO: SCUOLE MATERNE (DAL 15/12/2003);85.1;Istruzione;VIA DESMAN, 437, 35010 BORGORICCO PD;;;;;;;;;;
03501350288;SEDE;IMPRESA INDIVIDUALE;;18/02/2000;PAVAN DAVIDE;35028;BORGORICCO;0-2;338/7513837; ESERCENTE SPETTACOLO VIAGGIANTE (DAL 21/11/1991);93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35028 BORGORICCO PD;;;;;;;;;;
02407350285;SEDE;IMPRESA INDIVIDUALE;;15/04/1991;PAVAN DONATELLA;35010;BORGORICCO;0-2;0338/5853989;ATTIVITA': SPETTACOLI VIAGGIANTI (DAL 01.04.1991).;93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35010 BORGORICCO PD;;;;;;;;;;
03809900289;SEDE;IMPRESA INDIVIDUALE;;28/03/2003;PAVAN EMANUELE;35028;BORGORICCO;0-2;; SPETTACOLI VIAGGIANTI (DAL 25.3.2003).;93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35028 BORGORICCO PD;;;;;;;;;;
04010290288;SEDE;IMPRESA INDIVIDUALE;;12/04/2005;PAVAN GUENDALINA;35010;BORGORICCO;;338/2149127; SPETTACOLI VIAGGIANTI (DAL 12/04/2005);93.21;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35010 BORGORICCO PD;;;;;;;;;;
04233210287;SEDE;IMPRESA INDIVIDUALE;;02/10/2007;PAVAN RONALD;35010;BORGORICCO;;; SPETTACOLI VIAGGIANTI (DAL 17.9.2007).;93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35010 BORGORICCO PD;;;;;;;;;;
04082750284;SEDE;IMPRESA INDIVIDUALE;;02/02/2006;PAVAN TEDDY;35010;BORGORICCO;;; SPETTACOLI VIAGGIANTI (DAL 01.01.2006);93.29.9;Attività artistiche, sportive, di intrattenimento e divertimento;VIA RONCHI, 8, 35010 BORGORICCO PD;;;;;;;;;;
04075980286;SEDE;IMPRESA INDIVIDUALE;;31/01/2006;PERIN ITALO;35010;BORGORICCO;0-2;;LABORATORIO DI TAPPEZZERIA;95.24.02;Altre attività di servizi;VIA DESMAN, 19, 35010 BORGORICCO PD;;;;;;;;;;
05361840282;SEDE;IMPRESA INDIVIDUALE;;29/03/2021;PILO RIPARAZIONI E MANUTENZIONI DI TURCHETTO PAOLO;35010;BORGORICCO;0-2;;RIPARAZIONE E MANUTENZIONE DI ARTICOLI E MACCHINE PER IL GIARDINAGGIO SENZA TARGA;95.22.02;Altre attività di servizi;VIA TITO LIVIO, 6, 35010 BORGORICCO PD;;;;;;;;;;
04626350286;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;22/02/2012;POLIAMBULATORIO VILLANOVA SRL;35010;VILLANOVA DI CAMPOSAMPIERO;10-49;;AMBULATORIO DI MEDICINA DELLO SPORT;86.22.09;Sanità e assistenza sociale;PIAZZA MARIUTTO, 7, 35010 VILLANOVA DI CAMPOSAMPIERO PD;https://www.poliambulatoriovillanova.com/;poliambulatorio, villanova, medicina, visita, prelievi, appuntamento, laser, radiofrequenza, microdermoabrasione, sport, ossigenoterapia, endocrinologia, specialista, specialistiche, private, medico, estetica, pediatria, sangue, epilazione, fisioterapia, corsi, medicazioni, oculistica, camposampiero, poliambulatorio villanova, medicina sport, corsi blsd, epilazione laser, villanova poliambulatorio;False;it;http://www.facebook.com/polivillanova;;;;;
04802560286;UL;SOCIETA' IN NOME COLLETTIVO;;03/11/2014;RG2 SERVICE S.N.C. DI ROSSETTO RENE' E ROSSETTO DIEGO;35010;BORGORICCO;;;ATTIVITA' DI SERVIZIO E CONTROLLO FINALIZZATE AL FUNZIONAMENTO DI IMPIANTI CARBURANTI (DAL 03.11.2014);87.3;Sanità e assistenza sociale;;;;;;;;;;;
02207630282;SEDE;IMPRESA INDIVIDUALE;;28/11/1990;SALONE FABRIZIO DI VECCHIATO FABRIZIO;35010;BORGORICCO;0-2;049/9335496;ATTIVITA': PARRUCCHIERE PER UOMO (DAL 17.11.1990);96.02.01;Altre attività di servizi;VIA DELLA PIEVE, 2/A, 35010 BORGORICCO PD;;;;;;;;;;
04498840281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;06/08/2010;SALSA DE CALLE BY MARY SOCIETA' SPORTIVA DILETTANTISTICA A RESPONSABILITA' LIMITATA;35010;BORGORICCO;;;CORSI DI DANZA SPORTIVA, CON PARTICOLARE FINALITA' ED INTERESSE PER LA DANZA IN GENERE IN TUTTE LE SU FORME E STILI CON RIFERIMENTO AL BALLO LISCIO, LATINO AMERICANO, TANGO ARGENTINO,DANZE CARAIBICHE, FUNK, JAZZ, AEROBICA.;85.52.01;Istruzione;VIA ROMA, 135/A, 35010 BORGORICCO PD;;;;;;;;;;
01978260287;SEDE;IMPRESA INDIVIDUALE;;20/06/1985;SANTINON LUIGINA;35010;BORGORICCO;0-2;049/9335214;ATTIVITA': PARRUCCHIERA PER SIGNORA (DAL 30/4/1985).;96.02.01;Altre attività di servizi;VIA DESMAN, 221/D, 35010 BORGORICCO PD;;;;;;;;;;
04033830243;UL;SOCIETA' COOPERATIVA;;07/10/2020;SCATOLA CULTURA SOCIETA' COOPERATIVA SOCIALE;35010;BORGORICCO;;; ATTIVITA' DI MUSEI (DAL 07/10/2020);91.02;Attività artistiche, sportive, di intrattenimento e divertimento;VIALE EUROPA, 12, 35010 BORGORICCO PD;;;;;;;;;;
03923930287;SEDE;IMPRESA INDIVIDUALE;;15/03/2011;SCOTT INFORMATICA DI MASSIMO SCOTTON;35010;BORGORICCO;0-2;;MANUTENZIONE DI COMPUTER E ASSEMBLAGGIO PEZZI DI COMPUTER;95.11;Altre attività di servizi;VIA CARBONARA, 28 A, 35010 BORGORICCO PD;;;;;;;;;;
05399950285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;16/08/2021;SCT SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;;;RIPARAZIONE E MANUTENZIONE DI COMPUTER E PERIFERICHE, TELEFONIA, APPARECCHIATURE ELETTRICHE ED ELETTRONICHE E RELATIVI COMPENENTI;95.11;Altre attività di servizi;VIA CARBONARA, 28/A, 35010 BORGORICCO PD;;;;;;;;;;
03258860281;SEDE;IMPRESA INDIVIDUALE;;30/05/1997;STUDIO ACCONCIATORE EROS DI LELIO EROS;35010;BORGORICCO;0-2;049/9335473; BARBIERE E SERVIZI DEI SALONI DI PARRUCCHIERE UOMO (DAL 1.5.97);96.02.01;Altre attività di servizi;;;;;;;;;;;
05142580280;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;21/05/2018;STUDIO SAN LEONARDO SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFIC ATA;35010;BORGORICCO;0-2;;GESTIONE DI AMBULATORI ODONTOIATRICI AUTORIZZATI AVVALENDOSI DI PROFESSIONISTI ABILITATI;86.23;Sanità e assistenza sociale;CORSO ITALIA, 7/B, 35010 BORGORICCO PD;;;;;;;;;;
05372830280;SEDE;IMPRESA INDIVIDUALE;;23/04/2021;TAGLIA E CUCI LI;35010;BORGORICCO;0-2;;MODIFICA E RIPARAZIONE DI ARTICOLI DI VESTIARIO NON EFFETTUATE DALLE SARTORIE;95.29.03;Altre attività di servizi;VIA DESMAN, 257, 35010 BORGORICCO PD;;;;;;;;;;
04659350286;SEDE;IMPRESA INDIVIDUALE;ARIANNA.DORY@GMAIL.COM;19/06/2012;TOLOMIO ARIANNA;35011;CAMPODARSEGO;;;LAVANDERIA SELF-SERVICE A GETTONE;96.01.2;Altre attività di servizi;VIA VINICIO DALLA VECCHIA, 10/5, 35011 CAMPODARSEGO PD;;;;;;;;;;
04659350286;UL;IMPRESA INDIVIDUALE;ARIANNA.DORY@GMAIL.COM;17/09/2012;TOLOMIO ARIANNA;35010;BORGORICCO;;340/2524290;LAVANDERIA SELF-SERVICE A GETTONE (DAL 17/09/2012);96.01.2;Altre attività di servizi;VIA DESMAN, 231, 35010 BORGORICCO PD;;;;;;;;;;
04659350286;UL;IMPRESA INDIVIDUALE;ARIANNA.DORY@GMAIL.COM;01/10/2014;TOLOMIO ARIANNA;35011;CAMPODARSEGO;;;LAVANDERIA SELF-SERVICE A GETTONE (DAL 01/10/2014);96.01.2;Altre attività di servizi;VIA GARIBALDI, 20, 35011 CAMPODARSEGO PD;;;;;;;;;;
05133050285;SEDE;IMPRESA INDIVIDUALE;;05/04/2019;TOSATTO ANNALISA;35010;BORGORICCO;0-2;;ATTIVITA' DI CONSERVAZIONE E RESTAURO DI OPERE D'ARTE ULTERIORI SPECIFICHE: RESTAURATRICE DEI BENI CULTURALI;90.03.02;Attività artistiche, sportive, di intrattenimento e divertimento;VIA G. DANDOLO, 8/A, 35010 BORGORICCO PD;;;;;;;;;;
