Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
04992890287;SEDE;IMPRESA INDIVIDUALE;;19/07/2016;CANTELE FRANCO;35010;BORGORICCO;0-2;;POSA IN OPERA DI INFISSI, ARREDI, CONTROSOFFITTI, PARETI;43.32.02;Lavori di costruzione specializzati;VIA DESMAN, 62, 35010 BORGORICCO PD;;;;;;;;;;
01640680383;UL;SOCIETA' PER AZIONI;;10/12/2018;CANTIERI S.P.A.;35010;BORGORICCO;;;;42.21;Ingegneria civile;VIA FAVARIEGO, 7/A, 35010 BORGORICCO PD;;;;;;;;;;
04306670284;SEDE;IMPRESA INDIVIDUALE;;27/06/2008;CARRARO ADRIANO;35010;BORGORICCO;0-2;;TINTEGGIATURA E POSA IN OPERA DI VETRI;43.34;Lavori di costruzione specializzati;VIA ROMA, 7, 35010 BORGORICCO PD;;;;;;;;;;
03766160281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;31/10/2002;CARRARO EUGENIO S.R.L.;35010;BORGORICCO;3-9;;INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI: - IMPIANTI DI RISCALDAMENTO E DI CLIMATIZZAZIONE AZIONATI DA FLUIDO LIQUIDO, AERIFORME, GASSOSO E DI QUALSIASI NATURA O SPECIE, - IMPIANTI IDROSANITARI NONCHE' QUELLI DI TRASPORTO, DI TRATTAMENTO, DI USO, DI ACCUMULO E DI CONSUMO DI ACQUA ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DELL'ACQUA FORNITA DALL'ENTE DISTRIBUTORE, - IMPIANTI PER IL TRASPORTO E L'UTILIZZAZIONE DI GAS ALLO STATO LIQUIDO O AERIFORME ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DEL COMBUSTIBILE GASSOSO FORNITO DALL'ENTE DISTRIBUTORE, - IMPIANTI DI PROTEZIONE ANTINCENDIO - LIMITATAMENTE A: SPEGNIMENTO DI INCENDI, (DAL 14.11.2002) INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI: - IMPIANTI DI PRODUZIONE, DI TRASPORTO, DI DISTRIBUZIONE E DI UTILIZZAZIONE DELL'ENERGIA ELETTRICA ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DELL'ENERGIA FORNITA DALL'ENTE DISTRIBUTORE (IN EDIFICI ADIBITI AD USO CIVILE ED IMMOBILI ADIBITI AD ATTIVITA' PRODUTTIVE, AL COMMERCIO, AL TERZIARIO E AD ALTRI USI)(LETT. A), - IMPIANTI RADIOTELEVISIVI ED ELETTRONICI IN GENERE, ANTENNE, IMPIANTI DI PROTEZIONE DA SCARICHE ATMOSFERICHE (LETT. B),(DAL 24.10.2007) INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI, POSTI AL SERVIZIO DEGLI EDIFICI, INDIPENDENTEMENTE DALLA DESTINAZIONE D'USO, COLLOCATI ALL'INTERNO DEGLI STESSI O DELLE RELATIVE PERTINENZE - D.M. 37/2008: LETT. G) IMPIANTI DI PROTEZIONE ANTINCENDIO (DAL 11/03/2015);43.22.01;Lavori di costruzione specializzati;VIA DESMAN, 94, 35010 BORGORICCO PD;;;;;;;;;;
04211340288;SEDE;IMPRESA INDIVIDUALE;;06/06/2007;CARRARO STEFANO;35010;BORGORICCO;0-2;; RIVEVISTIMENTO DI PAVIMENTI E DI MURI (DAL 23.05.2007);43.33;Lavori di costruzione specializzati;VIALE EUROPA, 8, 35010 BORGORICCO PD;;;;;;;;;;
04327740272;UL;IMPRESA INDIVIDUALE;;05/09/2016;CB IMPIANTI DI BERTON CRISTIANO;35010;BORGORICCO;;; INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI, POSTI AL SERVIZIO DEGLI EDIFICI, INDIPENDENTEMENTE DALLA DESTINAZIONE D'USO, COLLOCATI ALL'INTERNO DEGLI STESSI O DELLE RELATIVE PERTINENZE - D.M. 37/2008: LETT. A) IMPIANTI DI PRODUZIONE, TRASFORMAZIONE, TRASPORTO, DISTRIBUZIONE, UTILIZZAZIONE DELL'ENERGIA ELETTRICA, NONCHE' GLI IMPIANTI PER L'AUTOMAZIONE DI PORTE, CANCELLI E BARRIERE, (DAL 05/09/2016);43.21.01;Lavori di costruzione specializzati;VIA DELLA PIEVE, 40, 35010 BORGORICCO PD;;;;;;;;;;
05383030284;SEDE;IMPRESA INDIVIDUALE;;27/05/2021;CECCATO DANIELE;35010;BORGORICCO;0-2;;POSA IN OPERA DI INFISSI, ARREDI, CONTROSOFFITTI, PARETI MOBILI E SIMILI ULTERIORI SPECIFICHE: POSA IN OPERA DI INFISSI, ARREDI, CONTROSOFFITTI, PARETI MOBILI E SIMILI E SCALE.;43.32.02;Lavori di costruzione specializzati;VIA PIOVEGA, 7, 35010 BORGORICCO PD;;;;;;;;;;
05363690289;SEDE;IMPRESA INDIVIDUALE;MRCCOMPAGNIN@GMAIL.IT;30/03/2021;CMP SERVICE DI MARCO COMPAGNIN;35010;BORGORICCO;0-2;;INSTALLAZIONE DI INFISSI, TENDE DA SOLE, TENDE ALLA VENEZIANA, ZANZARIERE E SIMILI.;43.32.02;Lavori di costruzione specializzati;PIAZZA GIOVANNI XXIII, 19, 35010 BORGORICCO PD;;;;;;;;;;
03896160284;SEDE;IMPRESA INDIVIDUALE;;04/03/2004;COMACCHIO MAURO;35010;BORGORICCO;0-2;; MURATURA IN GENERALE, POSA DI COPERTURE E COSTRUZIONE TETTI (DAL 25.02.2004);43.39.01;Lavori di costruzione specializzati;VIA CARBONARA, 19, 35010 BORGORICCO PD;;;;;;;;;;
04527580270;SEDE;IMPRESA INDIVIDUALE;;29/12/2021;CONDREA FLORIN;35010;BORGORICCO;10-49;;ATTIVITA' NON SPECIALIZZATE DI LAVORI EDILI (MURATORI);43.39.01;Lavori di costruzione specializzati;VIA ROMA, 176/A, 35010 BORGORICCO PD;;;;;;;;;;
04740200284;SEDE;IMPRESA INDIVIDUALE;;25/06/2013;CORO' FLAVIO;35010;BORGORICCO;0-2;;IMBIANCHINO;43.34;Lavori di costruzione specializzati;VIA DESMAN, 299, 35010 BORGORICCO PD;;;;;;;;;;
05016760281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;17/11/2016;COSTRUZIONI BIONDO S.R.L.;35010;BORGORICCO;10-49;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI (DAL 08/11/2016);41.2;Costruzione di edifici;VIA SPERONELLA DALESMANINA, 14, 35010 BORGORICCO PD;https://www.costruzionibiondo.it/;edilizia, costruzioni, civile, biondo, industriale, cantieri, speronella, borgoricco, dalesmanina, manutenzione, novo, ristrutturazione, evoluzione, edifici, civili, maestranze, generali, recupero, leggere, straordinaria, costruzione, restauro, industriali, ordinaria, riqualificazione, costruzioni biondo, edilizia civile, edilizia industriale, cantieri edilizia, speronella dalesmanina;True;it;;;;;;
04653960288;SEDE;IMPRESA INDIVIDUALE;;12/06/2012;COSTRUZIONI EDILI CARRARO GIULIANO;35010;BORGORICCO;0-2;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI. LAVORI GENERALI DI COSTRUZIONE DI EDIFICI.;41.2;Costruzione di edifici;VIA CARBONARA, 31, 35010 BORGORICCO PD;;;;;;;;;;
04221490289;SEDE;SOCIETA' IN NOME COLLETTIVO;;11/07/2007;COSTRUZIONI EDILI CHERUBIN SNC DI CHERUBIN RAFFAELE & C.;35010;BORGORICCO;0-2;;LAVORI DI EDILIZIA -  COSTRUZIONE E MANUTENZIONE  EDIFICI (DAL 08.10.2007);41.2;Costruzione di edifici;VIA SOLE, 13, 35010 BORGORICCO PD;;;;;;;;;;
04500500287;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;27/08/2010;COSTRUZIONI EDILI F.LLI SALVALAIO S.R.L.;35010;BORGORICCO;0-2;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI;41.2;Costruzione di edifici;VIA RONCHI, 12, 35010 BORGORICCO PD;https://costruzionisalvalaio.it/;salvalaio, gestisci, realizzazioni, proposte, costruzioni, civile, preferenze, abitazione, borgoricco, ronchi, title, archiviazione, tecnica, bifamiliare, villetta, michele, edili, preference, abbonato, comunicazione, statistiche, padova, marketing, necessari, funzionale, abitazione civile, archiviazione tecnica, salvalaio costruzioni, necessari legittimo, ronchi borgoricco;True;en, it;;;;;;
00450390281;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;26/10/1978;COSTRUZIONI EDILI ROSA S.A.S. DI ROSA LORENZO;35010;BORGORICCO;0-2;;IMPRESA EDILE;41.2;Costruzione di edifici;VIA PELOSA, 87, 35010 BORGORICCO PD;;;;;;;;;;
04213900287;SEDE;IMPRESA INDIVIDUALE;;12/07/2007;COSTY MONTAGGI DI BOLOVAN VASILICA;35010;BORGORICCO;0-2;349/5179421; MONTAGGIO MOBILI ED ARREDAMENTI (DAL 04.06.2007);43.32;Lavori di costruzione specializzati;VIA DANDOLO, 9, 35010 BORGORICCO PD;;;;;;;;;;
05105500283;SEDE;IMPRESA INDIVIDUALE;;18/01/2018;CRISU CRISTINEL;35010;BORGORICCO;0-2;;POSA IN OPERA DI CONTROSOFFITTI E PARETI IN CARTONGESSO.;43.32.02;Lavori di costruzione specializzati;VIA DELLE BADESSE, 20, 35010 BORGORICCO PD;;;;;;;;;;
04338490289;SEDE;IMPRESA INDIVIDUALE;;28/11/2008;CRYSTAL COSTRUZIONI DI SCALAS ANTONIO GIUSEPPE;35010;BORGORICCO;0-2;; COSTRUZIONE E OPERE DI INGEGNERIA CIVILE, COSTRUZIONE DI AUTOSTRADE, STRADE, STRADE FERRATE, CAMPI DI AVIAZIONE, IMPIANTI SPORTIVI E ALTRI LAVORI IN SUPERFICIE (DAL 04.11.2008);42.21;Ingegneria civile;VIA SABBADINA, 11/B, 35010 BORGORICCO PD;;;;;;;;;;
03973400280;SEDE;IMPRESA INDIVIDUALE;;24/01/2005;DAEL SERVICE DI PERIN DAVIDE;35010;BORGORICCO;0-2;049/5798448; TINTEGGIATURA INTERNA ED ESTERNA DI EDIFICI, LAVORI EDILI DI COMPLETAMENTO E DI FINITURA DEGLI EDIFICI, LAVORI DI ISOLAMENTO TERMICO, ACUSTICO E ANTIVIBRAZIONE DEGLI EDIFICI (DAL 01/01/2005), SERVIZI DI: PULIZIA (DAL 13/01/2005);43.34;Lavori di costruzione specializzati;VIA FRATTINA, 15/5, 35010 BORGORICCO PD;;;;;;;;;;
03744980289;SEDE;SOCIETA' IN NOME COLLETTIVO;;15/07/2002;DALCASTI IMPIANTI S.N.C. DI DALCASTI FABIO E LUCA;35010;BORGORICCO;0-2;;INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI: - IMPIANTI DI PRODUZIONE, DI TRASPORTO, DI DISTRIBUZIONE E DI UTILIZZAZIONE DELL'ENERGIA ELETTRICA ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DELL'ENERGIA FORNITA DALL'ENTE DISTRIBUTORE (IN EDIFICI ADIBITI AD USO CIVILE ED IMMOBILI ADIBITI AD ATTIVITA' PRODUTTIVE, AL COMMERCIO, AL TERZIARIO E AD ALTRI USI), - IMPIANTI RADIOTELEVISIVI ED ELETTRONICI IN GENERE, ANTENNE, GLI IMPIANTI DI PROTEZIONE DA SCARICHE ATMOSFERICHE, - IMPIANTI DI RISCALDAMENTO E DI CLIMATIZZAZIONE AZIONATI DA FLUIDO LIQUIDO, AERIFORME, GASSOSO E DI QUALSIASI NATURA O SPECIE, - IMPIANTI IDROSANITARI NONCHE' QUELLI DI TRASPORTO, DI TRATTAMENTO, DI USO, DI ACCUMULO E DI CONSUMO DI ACQUA ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DELL'ACQUA FORNITA DALL'ENTE DISTRIBUTORE, - IMPIANTI PER IL TRASPORTO E L'UTILIZZAZIONE DI GAS ALLO STATO LIQUIDO O AERIFORME ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DEL COMBUSTIBILE GASSOSO FORNITO DALL'ENTE DISTRIBUTORE, - IMPIANTI DI PROTEZIONE ANTINCENDIO (DAL 29.07.2002);43.21.01;Lavori di costruzione specializzati;VIA LOVARA, 111/A, 35010 BORGORICCO PD;;;;;;;;;;
04023400288;SEDE;IMPRESA INDIVIDUALE;;14/06/2005;DANIELE PAOLO;35010;BORGORICCO;0-2;; LAVORI GENERALI DI COSTRUZIONE EDIFICI, MANUTENZIONI E RISTRUTTURAZIONI EDIFICI (DAL 23.05.2005);41.2;Costruzione di edifici;VIA ROMA, 121/4, 35010 BORGORICCO PD;;;;;;;;;;
04691640280;SEDE;IMPRESA INDIVIDUALE;;15/02/2013;DARIO FABIO;35010;BORGORICCO;0-2;;MONTAGGIO MOBILI;43.32.02;Lavori di costruzione specializzati;VIA DESMAN, 384, 35010 BORGORICCO PD;;;;;;;;;;
05271100280;SEDE;IMPRESA INDIVIDUALE;DEGASPARI.ANDREA11@GMAIL.COM;10/02/2020;DE GASPARI ANDREA;35010;BORGORICCO;0-2;;TINTEGGIATURE E DECORAZIONI EDILI (DAL 24/01/2020).;43.34;Lavori di costruzione specializzati;VIA GAFFARELLO, 69, 35010 BORGORICCO PD;;;;;;;;;;
05353760282;SEDE;IMPRESA INDIVIDUALE;;16/03/2021;DENGO LUCA;35010;BORGORICCO;;;RIVESTIMENTO DI PAVIMENTI E MURI;43.33;Lavori di costruzione specializzati;VIA LOVARA, 66, 35010 BORGORICCO PD;;;;;;;;;;
04019550286;SEDE;IMPRESA INDIVIDUALE;INFO@DGELECTRONICS.IT;18/09/2006;DG ELECTRONICS DI DEMO GIUSEPPE;35010;BORGORICCO;0-2;049/7966450;INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE, RIPARAZIONE, ASSISTENZA DEGLI IMPIANTI SOTTOSPECIFICATI: - IMPIANTI RADIOTELEVISIVI ED ELETTRONICI IN GENERE, LE ANTENNE E GLI IMPIANTI DI PROTEZIONE DA SCARICHE ATMOSFERICHE (LETT.B),;43.21.02;Lavori di costruzione specializzati;VIA ROMA, 120, 35010 BORGORICCO PD;http://dgelectronics.it/;carrello, prodotto, tasse, incl, prodotti, electronics, dg, casseforti, gratuita, muro, cassaforte, sistemi, antifurto, digitale, speciali, preventivi, ut, impianti, acciaio, borgoricco, roma, negozio, credito, pagamento, entra, tasse incl, dg electronics, cassaforte muro, sistemi antifurto, preventivi casseforti;True;en, it;;;;;;
04249580285;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;11/12/2007;D.G. S.A.S. DI VALENTINI DANIELE & C.;35010;BORGORICCO;0-2;;TINTEGGIATURA, STUCCATURA, INTONACATURA, RIVESTIMENTI MURALI, INSTALLAZIONE DI OPERE IN CARTONGESSO E CONTROSOFFITTI (DAL 01/12/2007);43.34;Lavori di costruzione specializzati;VIA MANTEGNA, 7, 35010 BORGORICCO PD;;;;;;;;;;
03781790286;SEDE;IMPRESA INDIVIDUALE;;14/01/2003;DIPINTORI FASSINA DI SCANTAMBURLO DANIELE;35010;BORGORICCO;0-2;;IMBIANCHINO (DAL 02.01.2003).;43.34;Lavori di costruzione specializzati;VIA SCARDEONE, 33/A, 35010 BORGORICCO PD;;;;;;;;;;
03850570262;SEDE;IMPRESA INDIVIDUALE;;28/04/2015;DONG FENGLIAN;35010;BORGORICCO;3-9;;ATTIVITA' NON SPECIALIZZATE DI LAVORI EDILI (MURATORI);43.39.01;Lavori di costruzione specializzati;VIA DESMAN, 14, 35010 BORGORICCO PD;;;;;;;;;;
03164570594;SEDE;IMPRESA INDIVIDUALE;;09/12/2021;EDILIZIA FACILE DI PALMIERO OLGA;35010;BORGORICCO;;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI;41.2;Costruzione di edifici;VIA ROMA, 151/C, 35010 BORGORICCO PD;;;;;;;;;;
05422120286;SEDE;IMPRESA INDIVIDUALE;;22/12/2021;EDILIZIA ZATTA DI ZATTA MASSIMO;35010;BORGORICCO;;;COSTRUZIONI EDILI, CIVILI ED INDUSTRIALI, RESTAURI E RISTRUTTURAZIONI, LAVORO PER CONTO DI PRIVATI O DI AZIENDE (DAL 03.12.2021);41.2;Costruzione di edifici;VIA S. NICOLO', 13, 35010 BORGORICCO PD;;;;;;;;;;
03785380274;SEDE;IMPRESA INDIVIDUALE;;31/12/2012;ELETTRICA BALDAN DI BALDAN STEFANO;35010;BORGORICCO;0-2;;INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI, POSTI AL SERVIZIO DEGLI EDIFICI, INDIPENDENTEMENTE DALLA DESTINAZIONE D'USO, COLLOCATI ALL'INTERNO DEGLI STESSI O DELLE RELATIVE PERTINENZE - D.M. 37/2008: LETT. A) IMPIANTI DI PRODUZIONE, TRASFORMAZIONE, TRASPORTO, DISTRIBUZIONE, UTILIZZAZIONE DELL'ENERGIA ELETTRICA, IMPIANTI DI PROTEZIONE CONTRO LE SCARICHE ATMOSFERICHE, NONCHE' GLI IMPIANTI PER L'AUTOMAZIONE DI PORTE, CANCELLI E BARRIERE, LETT. B) IMPIANTI RADIOTELEVISIVI, LE ANTENNE E GLI IMPIANTI ELETTRONICI IN GENERE, LETT. G) IMPIANTI DI PROTEZIONE ANTINCENDIO (DAL 14/11/2012);43.21.01;Lavori di costruzione specializzati;VIA DELLA PIEVE, 3, 35010 BORGORICCO PD;;;;;;;;;;
01294540289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;02/12/1992;ELETTROPADANA S.R.L.;35012;CAMPOSAMPIERO;10-49;;;43.21.01;Lavori di costruzione specializzati;VIA TISO, 10/3, 35012 CAMPOSAMPIERO PD;http://www.elettropadana.it/;impianti, elettropadana, amico, fotovoltaici, invia, elettrici, industriali, destinatario, civili, fratta, mittente, borgoricco, aggiuntivo, tvcc, indicazioni, misura, stradali, trovi, cancelli, mobile, mano, codice, copia, visitare, contenente, invia amico, impianti elettrici, elettrici civili, civili industriali, impianti fotovoltaici;True;it;;;;;;
