Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
05105160286;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;19/01/2018;AGOSTINI  S.A.S. DI AGOSTINI CRISTIAN & C.;35010;BORGORICCO;3-9;;LAVORAZIONI MECCANICHE DI CARPENETRIA MECCANICA PER CONTO TERZI DI: TAGLIO, PROFILATURA, PUNZIONATURA, PIEGATURA, SALDATURA E ASSEMBLAGGIO;25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA MARCO POLO, 16, 35010 BORGORICCO PD;http://www.agostinisas.it/;piegatura, saldatura, agostini, assemblaggio, taglio, punzonatura, laser, cesoiatura, ciao, certificazione, cristian, agostinisas, borgoricco, marco, polo, partita, usal, univoco, pv, commenti, categoria, recenti, incisione, feed, lavorazioni, taglio laser, agostini cristian, marco polo, borgoricco marco, univoco usal;;en, it;;;;;;
05105160286;UL;SOCIETA' IN ACCOMANDITA SEMPLICE;;01/01/2018;AGOSTINI  S.A.S. DI AGOSTINI CRISTIAN & C.;35010;BORGORICCO;3-9;;LAVORAZIONI MECCANICHE DI CARPENETRIA MECCANICA PER CONTO TERZI DI: TAGLIO, PROFILATURA, PUNZIONATURA, PIEGATURA, SALDATURA E ASSEMBLAGGIO (DAL 01/01/2018).;25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA DELL'INDUSTRIA, 18/E, 35010 BORGORICCO PD;http://www.agostinisas.it/;piegatura, saldatura, agostini, assemblaggio, taglio, punzonatura, laser, cesoiatura, ciao, certificazione, cristian, agostinisas, borgoricco, marco, polo, partita, usal, univoco, pv, commenti, categoria, recenti, incisione, feed, lavorazioni, taglio laser, agostini cristian, marco polo, borgoricco marco, univoco usal;;en, it;;;;;;
05063950280;SEDE;IMPRESA INDIVIDUALE;;05/06/2017;AM-MA PLAST DI CENTENARO STEFANO;35010;BORGORICCO;0-2;;FABBRICAZIONE DI ALTRI ARTICOLI IN MATERIE PLASTICHE NCA ULTERIORI SPECIFICHE: FABBRICAZIONE, STAMPAGGIO E ASSEMBLAGGIO DI VARI ARTICOLI IN MATERIE PLASTICHE;22.29.09;Industrie chimiche, plastiche e farmaceutiche;VIA DELLE BADESSE, 6, 35010 BORGORICCO PD;;;;;;;;;;
03656510280;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;02/01/2002;APEX S.R.L.;35010;BORGORICCO;;;FABBRICAZIONE DI SILOS, MACINATORI DI SCARTI IN LEGNO E PLASTICA, DI CALDAIE A LEGNA COMPRESO INSTALLAZIONE, ESSICATOI, MONTAGGIO, RIPARAZIONE E MANUTENZIONE DEGLI STESSI (DAL 2.1.2002).;28.99;Industrie meccaniche, metallurgiche ed elettroniche;VIA DELL'INDUSTRIA, 27, 35010 BORGORICCO PD;;;;;;;;;;
03881270288;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;02/02/2004;AREA STAMPI S.R.L.;35010;BORGORICCO;0-2;;PRODUZIONE DI STAMPI PER TERMOFORMATURA, PROTIPI, MODELLI PER FONDERIA (DAL 24/03/2006).;25.73.2;Industrie meccaniche, metallurgiche ed elettroniche;VIA MARCO POLO, 14, 35010 BORGORICCO PD;https://www.areastampi.it/;stampi, cnc, alluminio, design, prototipazione, progettazione, domenica, borgoricco, chiuso, termoformatura, lun, polo, rapida, marco, medialine, chiamaci, ven, lavorazioni, processo, consulenza, tecnica, plastiche, stampo, stampaggio, materie, marco polo, polo borgoricco, prototipazione rapida, ven domenica, lun ven;True;en, it;;;;;;
05153450282;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;23/07/2018;BABY IDEA S.R.L.;35010;BORGORICCO;3-9;;CONFEZIONAMENTO DI BIANCHERIA DA LETTO, DA TAVOLA E PER L'ARREDAMENTO;13.92.1;Industrie tessili e di abbigliamento;VIA DEL GRATICOLATO, 19/C, 35010 BORGORICCO PD;;;;;;;;;;
03249580287;SEDE;IMPRESA INDIVIDUALE;;09/05/1997;BASSI GIOVANNI;35010;BORGORICCO;0-2;0347/4925722; PRODUZIONE SCOPE (DAL 21.3.1997) COMMERCIO AMBULANTE PRODOTTI PER LA PERSONA (DAL 20.05.1997);32.91;Altre industrie manifatturiere;VIA LOVARA, 31, 35010 BORGORICCO PD;;;;;;;;;;
01443660285;SEDE;SOCIETA' IN NOME COLLETTIVO;;28/05/1993;BASSO GIOVANNI & C. S.N.C. DI BASSO MICHELE;35010;BORGORICCO;0-2;;ATTIVITA': FORNO DA PANE (DAL 22.4.1993).;10.71.1;Industrie alimentari, delle bevande e del tabacco;VIA DELLA PIEVE, 20, 35010 BORGORICCO PD;;;;;;;;;;
04252520285;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;10/01/2008;BENETTI ARMANDO SAS DI MUNARI ASSUNTA;35010;BORGORICCO;3-9;;FABBRICAZIONE DI OGGETTI IN FERRO, LAVORI DI RIPARAZIONE,  FABBRO, LAVORI DI CARPENTERIA LEGGERA (DAL 14.12.2007);25.99.3;Industrie meccaniche, metallurgiche ed elettroniche;VIA DESMAN, 16, 35010 BORGORICCO PD;;;;;;;;;;
03486730280;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;04/04/2000;BERTAN MAGLIE S.R.L.;35010;BORGORICCO;10-49;; PRODUZIONE ARTICOLI DI MAGLIERIA;14.3;Industrie tessili e di abbigliamento;VIA DESMAN, 15, 35010 BORGORICCO PD;https://bertan.it/;maglie, bertan, savoir, faire, impronta, struttura, obbligo, associati, design, vassalli, pubbliche, lavaggio, mano, stiro, ricevuti, progettazione, stilista, codice, collaudo, erogazioni, etico, taglio, aiuti, tessitura, confezione, bertan maglie, savoir faire, vassalli associati, maglie design, ricevuti obbligo;True;en, it, fr;https://www.facebook.com/bertanmaglie/;;;;;https://www.instagram.com/bertanmaglie/
03402830289;SEDE;IMPRESA INDIVIDUALE;;22/03/1999;BERTAZZO STEFANO;35010;BORGORICCO;0-2;;ATTIVITA': LAVORAZIONE DI ARTICOLI VARI IN MATERIE PLASTICHE (DAL 02/11/1999);22.29.09;Industrie chimiche, plastiche e farmaceutiche;VIA LOVARA, 127, 35010 BORGORICCO PD;;;;;;;;;;
03402830289;UL;IMPRESA INDIVIDUALE;;01/01/2017;BERTAZZO STEFANO;35010;BORGORICCO;0-2;;;22.29.09;Industrie chimiche, plastiche e farmaceutiche;VIA SABBADINA, 12/C, 35010 BORGORICCO PD;;;;;;;;;;
02007730282;SEDE;SOCIETA' IN NOME COLLETTIVO;;23/12/1985;BIASIO S.N.C. DEI F.LLI RETTORE PAOLO E ROBERTO;35010;BORGORICCO;0-2;049/5798402;COSTRUZIONE DI PARTI INTERCAMBIABILI PER MACCHINE UTENSILI PER LEGNO ED AFFINI;25.73.12;Industrie meccaniche, metallurgiche ed elettroniche;VIA S. LEONARDO, 25, 35010 BORGORICCO PD;https://www.biasioutensili.com/;frese, punte, fresa, sagomati, fm, utensili, pantografo, biasio, costruzione, coltelli, gruppi, lavorazione, sagomate, affilatura, borgoricco, prodotti, leonardo, esempi, chiamaci, cilindrico, hm, albero, attacco, montati, padova, gruppi frese, frese punte, costruzione utensili, costruzione frese, leonardo borgoricco;;it;;;;;;
04877650285;SEDE;SOCIETA' PER AZIONI;;06/02/2015;BLAUWER S.P.A.;35010;BORGORICCO;10-49;;FABBRICAZIONE DI ATTREZZATURE DI USO NON DOMESTICO PER LA REFRIGERAZIONE E LA VENTILAZIONE, FABBRICAZIONE DI CONDIZIONATORI DOMESTICI FISSI;28.25;Industrie meccaniche, metallurgiche ed elettroniche;VIA MARCONI, 6, 35010 BORGORICCO PD;https://blauwer.com/;isole, repubblica, pegaso, blauwer, alta, saint, isola, prodotti, francese, democratica, uniti, scheda, efficienza, acqua, temperatura, fluido, borgoricco, systems, piovega, history, plastic, case, pet, ergomec, aria, repubblica democratica, alta efficienza, piovega borgoricco, case history, plastic systems;True;es, it, pt, en, fr;;;;;;
00225710284;SEDE;SOCIETA' PER AZIONI;;27/08/1971;BONALDO S.P.A.;35010;VILLANOVA DI CAMPOSAMPIERO;50-249;049/929011;FABBRICAZIONE DI MOBILI PER ARREDO DOMESTICO;31.09.1;Industrie del legno, dell'arredo e della carta;VIA STRAELLE, 3, 35010 VILLANOVA DI CAMPOSAMPIERO PD;https://www.bonaldo.com/en;style, bonaldo, store, locator, preferiti, prodotti, bio, timeless, designer, presenza, saddle, giochi, configuratore, novelties, forte, riflessi, downloads, showroom, caratterizzano, scultorea, contrasti, cataloghi, letti, lampada, krassa, store locator, style timeless, contrasti giochi, forte presenza, giochi riflessi;;en, it;https://www.facebook.com/Bonaldo.spa/;;;https://www.youtube.com/user/Bonaldospa;https://www.pinterest.it/bonaldo;https://www.instagram.com/bonaldospa/
00225710284;UL;SOCIETA' PER AZIONI;;01/03/2001;BONALDO S.P.A.;35010;BORGORICCO;50-249;;PRODUZIONE DI ARREDAMENTI METALLICI, ASSEMBLAGGIO DI SEDIE, TAVOLI, POLTRONE, IMBALLAGGIO (DAL 1.3.2001).;31.01.21;Industrie del legno, dell'arredo e della carta;VIA DELL'INDUSTRIA, 8, 35010 BORGORICCO PD;https://www.bonaldo.com/en;style, bonaldo, store, locator, preferiti, prodotti, bio, timeless, designer, presenza, saddle, giochi, configuratore, novelties, forte, riflessi, downloads, showroom, caratterizzano, scultorea, contrasti, cataloghi, letti, lampada, krassa, store locator, style timeless, contrasti giochi, forte presenza, giochi riflessi;True;en, it;https://www.facebook.com/Bonaldo.spa/;;;https://www.youtube.com/user/Bonaldospa;https://www.pinterest.it/bonaldo;https://www.instagram.com/bonaldospa/
00225710284;UL;SOCIETA' PER AZIONI;;01/03/2017;BONALDO S.P.A.;35010;BORGORICCO;50-249;;SHOWROOM(DAL 01.03.2017);31.09.1;Industrie del legno, dell'arredo e della carta;VIA DELL'INDUSTRIA, 2, 35010 BORGORICCO PD;https://www.bonaldo.com/en;style, bonaldo, store, locator, preferiti, prodotti, bio, timeless, designer, presenza, saddle, giochi, configuratore, novelties, forte, riflessi, downloads, showroom, caratterizzano, scultorea, contrasti, cataloghi, letti, lampada, krassa, store locator, style timeless, contrasti giochi, forte presenza, giochi riflessi;True;en, it;https://www.facebook.com/Bonaldo.spa/;;;https://www.youtube.com/user/Bonaldospa;https://www.pinterest.it/bonaldo;https://www.instagram.com/bonaldospa/
05337680283;SEDE;IMPRESA INDIVIDUALE;;29/01/2021;BUGIN DENIS;35010;BORGORICCO;0-2;;FABBRICAZIONE DI OGGETTI IN FERRO, IN RAME ED ALTRI METALLI;25.99.3;Industrie meccaniche, metallurgiche ed elettroniche;VIA ROMA, 147/E, 35010 BORGORICCO PD;;;;;;;;;;
03460600269;UL;SOCIETA' IN NOME COLLETTIVO;;01/06/2012;BUOSI BRUNO S.N.C. DI BUOSI DIEGO, FABIO E GIANLUCA;35010;BORGORICCO;;;;16.23.1;Industrie del legno, dell'arredo e della carta;VIA ROMA, 65, 35010 BORGORICCO PD;;;;;;;;;;
04841880281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;07/10/2014;CABO SRL;35010;BORGORICCO;3-9;;FABBRICAZIONE DI STAMPI, PORTASTAMPI, SAGOME, FORME PER MACCHINE ULTERIORI SPECIFICHE: SALDATURA, ASSEMBLAGGIO, STAMPAGGIO DI MATERIALI VARI CON OGNI ALTRA ATTIVITA' AFFINE;25.73.2;Industrie meccaniche, metallurgiche ed elettroniche;VIA PELOSA, 5/A, 35010 BORGORICCO PD;https://www.cabostampi.it/;stampi, cabo, tecnologia, elettrodomestico, metalli, pneumatici, costruttore, produzione, grado, attrezzature, offrire, moulds, passo, pelosa, padova, tranciatura, giardinaggio, progressivo, speciali, freddo, idraulici, attenta, linee, macchine, gestite, cabo stampi, stampi pelosa, singolo propone, imbutitura freddo, offrire attrezzature;;it;;;;;;
00042810283;SEDE;SOCIETA' IN NOME COLLETTIVO;;10/11/1993;CAGNIN S.N.C. DI CAGNIN MARIO ED IVANO;35010;BORGORICCO;3-9;049/5797192;ATTIVITA': FALEGNAMERIA IN GENERE CON SPECIALE RIFERIMENTO AL SETTORE DEI MANICI DI SCOPA, ARTICOLI PER IL GIARDINAGGIO E SERRAMENTI (DAL 28.9.1993).;16.23.1;Industrie del legno, dell'arredo e della carta;VIA DEI DA PONTE, 10, 35010 BORGORICCO PD;https://www.cagnin.it/manici/;manici, attrezzi, cagnin, prodotti, scope, edili, scopa, pellet, lavorazioni, speciali, pvc, legna, saggina, giardino, legno, alessandro, barbato, ponte, mario, ivano, fsc, borgoricco, agricoli, produzione, plastica, manici attrezzi, attrezzi edili, scopa saggina, lavorazioni speciali, attrezzi giardino;True;de, en, it;;;;;;
03606180283;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;21/02/2001;CEBA S.R.L.;35010;BORGORICCO;3-9;;LAVORAZIONE IN PROPRIO O PER CONTO TERZI DI METALLI, NONCHE' L'ASSEMBLAGGIO DI MACCHINARI (DAL 21.02.2001);25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA DELL'INDUSTRIA, 7/C, 35010 BORGORICCO PD;;;;;;;;;;
02440360283;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;20/03/1991;CER MANUTENZIONI S.R.L.;35010;BORGORICCO;3-9;;MANUTENZIONE, RIPARAZIONE, REVISIONE, INSTALLAZIONE E COLLAUDO DI MACCHINE UTENSILI, DI MACCHINARI E ATTREZZATURE, NONCHE' DI PARTI INTERCAMBIABILI O DI ACCESSORI DEGLI STESSI, CHE FORMANO, ANCHE IN PARTE, IL CICLO PRODUTTIVO DELLE ATTIVITA' SPECIALI E NON (DAL 25/02/2020).;33.12.99;Industrie meccaniche, metallurgiche ed elettroniche;VIA MARCONI, 2, 35010 BORGORICCO PD;http://cermanutenzioni.it/;manutenzioni, cer, macchine, ver, js, revisioni, banco, test, prova, tema, costruzioni, banchi, utensili, costruzione, capitali, process, fade, responsive, assume, improve, template, vc, tornio, default, wpb, cer manutenzioni, banco prova, banchi test, revisioni capitali, macchine tema;;en, it;;;;;;
02218040240;UL;SOCIETA' PER AZIONI;;02/10/2015;CEREAL DOCKS S.P.A.;35010;BORGORICCO;;; DEPOSITO DI CEREALI E SEMI OLEOSI;10.41.2;Industrie alimentari, delle bevande e del tabacco;VIA DESMAN, 121/A, 35010 BORGORICCO PD;https://www.cerealdocks.it/;docks, cereal, alimentare, biotecnologie, nutrizione, animale, biologico, filiere, wp, innovazione, tesi, prodotti, cerealdocks, mantegna, marco, camisano, stabilimenti, vicentino, academy, marghera, ambientale, organic, alimento, sostenibili, alto, cereal docks, nutrizione animale, cerealdocks wp, camisano vicentino, mantegna academy;True;en, it;https://www.facebook.com/GruppoCerealDocks/;;https://www.linkedin.com/company/cereal-docks-spa;https://www.youtube.com/channel/UCVA84a6fAPZyOG1tHzyMnPg;;
05103470281;SEDE;IMPRESA INDIVIDUALE;;19/01/2018;CHEN ZHIHANG;35020;BORGORICCO;3-9;;CONFEZIONI DI ARTICOLI DI ABBIGLIAMENTO;14.13.1;Industrie tessili e di abbigliamento;VIA DESMAN, 16/B, 35020 BORGORICCO PD;;;;;;;;;;
00970520284;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;04/09/1980;C.M.P. SRL;35010;BORGORICCO;0-2;049/5798356;FABBRICAZIONE DI ALTRE MACCHINE PER L'AGRICOLTURA, LA SILVICOLTURA E LA ZOOTECNIA;28.30.9;Industrie meccaniche, metallurgiche ed elettroniche;VIA SAN LEONARDO, 12, 35010 BORGORICCO PD;;;;;;;;;;
05454130286;SEDE;IMPRESA INDIVIDUALE;;07/04/2022;CONFEZIONE DI ZHAN XUFENG;35010;BORGORICCO;;;CONFEZIONE IN SERIE DI ABBIGLIAMENTO ESTERNO;14.13.1;Industrie tessili e di abbigliamento;VIA DESMAN, 485, 35010 BORGORICCO PD;;;;;;;;;;
04777970288;SEDE;IMPRESA INDIVIDUALE;;13/01/2014;CONFEZIONE STELLA DI WANG JIANFEN;35010;BORGORICCO;3-9;;CONFEZIONI VARIE E ACCESSORI PER L ABBIGLIAMENTO (DAL 07.01.2014) ULTERIORI SPECIFICHE: UOMO,DONNA,BAMBINO E ACCESSORI PER L'ABBIGLIAMENTO (DAL 07.01.2014);14.19.1;Industrie tessili e di abbigliamento;VIA DELLA PIEVE, 5, 35010 BORGORICCO PD;;;;;;;;;;
04646380289;SEDE;IMPRESA INDIVIDUALE;;04/05/2012;CONFEZIONI DI ZHANG GUOHUI;35010;BORGORICCO;0-2;;CONFEZIONI DI ARTICOLI DI ABBIGLIAMENTO (DAL 30.04.2012);14.1;Industrie tessili e di abbigliamento;VIA DESMAN, 16/B, 35010 BORGORICCO PD;;;;;;;;;;
02474400286;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;24/07/1991;CONFEZIONI GLORIA DI FABIO RETTORE & C. S.A.S;35010;BORGORICCO;3-9;049/9335804;CONFEZIONE CAPI DI ABBIGLIAMENTO (DAL 8.7.91);14.1;Industrie tessili e di abbigliamento;VIA CARBONARA, 35, 35010 BORGORICCO PD;;;;;;;;;;
04298760283;SEDE;IMPRESA INDIVIDUALE;;23/05/2008;CONFEZIONI LEVANTE DI ZHOU SHUPING;35010;BORGORICCO;0-2;; CONFEZIONI DI ABBIGLIAMENTO (DAL 05.05.2008);14.1;Industrie tessili e di abbigliamento;VIA DESMAN, 16/B, 35010 BORGORICCO PD;;;;;;;;;;
03543230282;SEDE;IMPRESA INDIVIDUALE;;02/06/2000;CONNECT DI PAVONE DANIELE;35010;BORGORICCO;0-2;;ATTIVITA' DI DESIGN DI MODA E DESIGN INDUSTRIALE;33.12.1;Industrie meccaniche, metallurgiche ed elettroniche;VIA GAFFARELLO, 34/E, 35010 BORGORICCO PD;;;;;;;;;;
05167570281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;11/10/2018;CPM ESPOSITORI S.R.L.;35010;BORGORICCO;;;FABBRICAZIONE DI ESPOSITORI, SUPPORTI VETRINA, VASSOI, ASTUCCI ED IN GENERE DI QUALUNQUE ARTICOLO IDONEO A CONFEZIONARE, IMBALLARE E PRESENTARE OGGETTI DI OREFICERIA, OROLOGERIA E ARGENTERIA;32.99.9;Altre industrie manifatturiere;VIA RONCHI, 7/B, 35010 BORGORICCO PD;https://www.cpm-astucci.it/;gioielli, espositore, espositori, prodotti, particolare, cpm, realizzazioni, personalizzati, lavoriamo, sitdata, navagation, disponibili, acquistare, puoi, visitando, disposizione, particolari, couvette, modello, ritorna, vetrina, gioielleria, bigiotteria, astucci, collane, espositore gioielli, gioielli espositori, espositori personalizzati, disposizione gioielli, personalizzati disponibili;;it;;;;;;
02571170287;SEDE;IMPRESA INDIVIDUALE;;18/08/1992;DANDOLO DANIELE;35010;BORGORICCO;0-2;049/5797098;ATTIVITA': FABBRICA DI SCOPE (DAL 29.07.1992);32.91;Altre industrie manifatturiere;VIA MUSON, 22, 35010 BORGORICCO PD;http://www.fabbricascopedandolo.it/;ss, sp, fabbrica, dandolo, scope, daniele, listino, saggina, borgoricco, muson, ppl, eufemia, artigianali, artigianale, visualizzazione, recapito, ingrandita, contattami, telefonico, fabbrica scope, muson eufemia, eufemia borgoricco, dandolo daniele, recapito telefonico;;it;;;;;;
